cmc_id,track,month_end,ma_dist,vol12,ivol,amihud,skew36,ma_dist_std,vol12_std,ivol_std,amihud_std,skew36_std
1027,coin,2020-12-31,1.0058299545789828,0.29940334692928305,0.16173686869660034,-24.627841253200828,0.40218904236034203,,,,,
1027,coin,2021-01-31,1.7059069682160026,0.34112099017207403,0.13685809843510707,-24.637013658709005,0.5228051265752308,,,,,
1027,coin,2021-02-28,1.3335819921090728,0.3439120362510246,0.15141139831512068,-24.676759060971644,0.4779558426334543,,,,,
1027,coin,2021-03-31,1.473543854665885,0.28664634781839204,0.15124152418324277,-24.785484809011695,0.5169543573711979,,,,,
1027,coin,2021-04-30,1.6918035339844062,0.2787654432123699,0.1574844619269938,-24.808789147086035,0.4658419670519191,,,,,
1027,coin,2021-05-31,1.1425090233740405,0.2880973512726104,0.1635814562671697,-24.851956825070836,0.4503928742140134,,,,,
1027,coin,2021-06-30,0.5674351559953217,0.3030924282552738,0.16353674905058432,-24.836708183346943,0.4534823550267826,,,,,
1027,coin,2021-07-31,0.5198222604961107,0.29151280017151326,0.16191698401446736,-25.04820288033751,0.412911909037587,,,,,
1027,coin,2021-08-31,0.7399480085279488,0.2941817499995561,0.15960259314970862,-25.09531405712469,0.3500705822579944,0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865476,-0.7071067811865477
1027,coin,2021-09-30,0.3569043593408274,0.28875731104799507,0.15722481231469784,-25.14600677979927,0.3517450232488273,0.7071067811865476,-0.7071067811865476,-0.7071067811865479,-0.7071067811865476,-0.7071067811865478
1027,coin,2021-10-31,0.670344698926779,0.2901912174305818,0.156808588956815,-25.028696355413295,0.2334248295822586,0.7071067811865476,-0.7071067811865476,-0.7071067811865476,-0.7071067811865466,-0.7071067811865476
1027,coin,2021-11-30,0.5977070021154001,0.2731733725066711,0.15694734646090291,-25.206068425300494,0.34517579971296103,0.18729967287418378,-0.6980858146166316,-0.9701041515489316,-0.8042137603419425,-1.154439294179272
1027,coin,2021-12-31,0.17825889969936948,0.29844403189348384,0.1535973176172365,-25.205249898611395,0.389156117127737,-0.21520583227197443,-0.4714211267494797,-1.0680875888239671,-0.8056477941741005,-1.1168552312209956
1027,coin,2022-01-31,-0.1605630629791429,0.25597580082810306,0.15258421927222326,-25.29336378212969,0.36477740522977836,0.136971101835618,-1.0317302828610218,-1.1478280953489954,-0.8448049114220388,-0.8517664789867777
1027,coin,2022-02-28,-0.09259237194313097,0.25594934325439145,0.15184935382139822,-25.27995483591199,0.4228709834661248,-0.53294111459051,-0.8695215960639426,-0.5985173813086084,-1.088641027524167,-0.7557896065536266
1027,coin,2022-03-31,0.002411609641461032,0.24257356004333702,0.15080818783887845,-25.318107338674814,0.3983280134555113,-0.3028127329822906,-0.7405976349312191,-0.7416420815738499,-1.3544934190924554,-0.9948774550564825
1027,coin,2022-04-30,-0.1774840698762663,0.22000248812510423,0.1498832947090593,-25.33925003144757,0.4454477289072539,0.4106720172312489,-0.7569947411045045,-0.7387889822953556,-1.3820298390368586,-0.8957352260876064
1027,coin,2022-05-31,-0.40417989915799124,0.2373696689662625,0.1501246919686227,-25.219980819971212,0.4864361909617197,0.012590985694673897,-0.6917943953644944,-0.7660259491191002,-1.3649136440725587,-0.9344146815227944
1027,coin,2022-06-30,-0.6469732428101405,0.26764473832806673,0.14963164121212233,-25.072382014096195,0.40023514283278117,-0.18377360432487455,-0.653249033460104,-0.7589052703937743,-1.3173438355148457,-0.9267395647267024
1027,coin,2022-07-31,-0.4184144677747784,0.31806651458663404,0.15283125895798844,-24.873368814043843,0.30677076786565366,0.19370288677571004,-0.48228438061842316,-0.7507861489476944,-1.26868577446939,-0.9311633381633452
1027,coin,2022-08-31,-0.40649779812429077,0.29970019568416567,0.1511488118623705,-24.92367465246183,0.30387613999172175,0.28032657501088704,-0.06717070801257821,-0.7523745882377123,-1.2499216758792167,-0.9364532751323467
