cmc_id,symbol,track,month_end,sector,market_cap,r_fwd1,r_fwd3,r_fwd6,r_fwd1_w,r_fwd3_w,r_fwd6_w,conv,conv_source,conv_lz,conv_vw,val_raw,val,size,r_1m,mom_3m,mom_12_2,beta36,conv_std,conv_lz_std,conv_vw_std,val_std,size_std,r_1m_std,mom_3m_std,mom_12_2_std,beta36_std
1027,ETH,coin,2020-12-31,Foundation;Layer-1;Payments;Smart Contract Platform,84156810764.80739,0.7822989602882158,1.6000992495375184,2.0828642423732617,0.7822989602882158,1.6000992495375184,2.0828642423732617,-3.9417496665026897,ch1_lnodds,-0.7649187806868443,,0.0002225350911788,-8.410425755630246,25.155947690312924,0.19998759237735375,0.4131720189328594,1.5343589715477681,1.0191861520347714,,,,,,,,,
1027,ETH,coin,2021-01-31,Foundation;Layer-1;Payments;Smart Contract Platform,150543956657.3032,0.0768545518591448,1.1089248477396563,0.9286970308808298,0.0768545518591448,1.1089248477396563,0.9286970308808298,-3.652825925204715,ch1_lnodds,-0.7996755213448704,,0.0003431467173344,-7.977352454925532,25.73752094930361,0.7822989602882158,1.0498076236955098,3.743757774031759,1.1911647834889438,,,,,,,,,
1027,ETH,coin,2021-02-28,Foundation;Layer-1;Payments;Smart Contract Platform,162650415374.43338,0.35472867684661247,0.9172680635591881,1.4248687788064904,0.35472867684661247,0.9172680635591881,1.4248687788064904,-3.511701211033808,ch1_lnodds,-0.7760322281766556,,0.0002240205708489,-8.403772676178857,25.814869043655523,0.0768545518591448,2.4014979386734168,3.095263543716788,1.1316628958325958,,,,,,,,,
1027,ETH,coin,2021-03-31,Foundation;Layer-1;Payments;Smart Contract Platform,221151811159.16376,0.44561195659009645,0.18567175576917427,0.5647093493595181,0.44561195659009645,0.18567175576917427,0.5647093493595181,-3.427183501322851,ch1_lnodds,-0.9639414287117616,,0.0002225248995305,-8.410471554616965,26.122115230958904,0.35472867684661247,1.303108284130579,4.981328749271995,1.0962539513884515,,,,,,,,,
1027,ETH,coin,2021-04-30,Foundation;Layer-1;Payments;Smart Contract Platform,320822874720.786,-0.021008812338317084,-0.08545957294400253,0.5462510546356976,-0.021008812338317084,-0.08545957294400253,0.5462510546356976,-3.309207839591738,ch1_lnodds,-0.9787695470029076,,0.0002171973340581,-8.4347042441138,26.494155015636032,0.44561195659009645,1.600099249537518,9.599678998490827,1.0199506246025762,,,,,,,,,
1027,ETH,coin,2021-05-31,Foundation;Layer-1;Payments;Smart Contract Platform,315217277482.8048,-0.16221233775431,0.26475208391308613,0.7059197180721062,-0.16221233775431,0.26475208391308613,0.7059197180721062,-3.057680460074935,ch1_lnodds,-1.0624854144486615,,0.0001281391008346,-8.962394158832803,26.476528007776885,-0.021008812338317084,1.1089248477396563,8.240573520929182,0.9509704905832874,,,,,,,,,
1027,ETH,coin,2021-06-30,Foundation;Layer-1;Payments;Smart Contract Platform,265001225920.8234,0.11503927600898556,0.3196817261995528,0.6190616204597779,0.11503927600898556,0.3196817261995528,0.6190616204597779,-2.911927409124512,ch1_lnodds,-1.0970180854670477,,9.3126912920844e-05,-9.281547340043641,26.30300028903825,-0.16221233775431,0.9172680635591883,11.006488654886292,0.948436983538888,,,,,,,,,
1027,ETH,coin,2021-07-31,Foundation;Layer-1;Payments;Smart Contract Platform,296532997873.11633,0.35388344582370945,0.6907410639169262,0.059959106291048725,0.35373611330320315,0.6907410639169262,0.059959106291048725,-2.836858011345573,ch1_lnodds,-1.1235495264216957,,9.700719301704812e-05,-9.240725427395295,26.415424340500767,0.11503927600898556,0.18567175576917427,10.996312110952715,0.9646490928002864,,,,,,,,,
1027,ETH,coin,2021-08-31,Foundation;Layer-1;Payments;Smart Contract Platform,402902770209.72687,-0.12582625293617788,0.3488174795443444,-0.14984612528386132,-0.12582625293617788,0.3488174795443444,-0.14984612528386132,-2.71530671885665,ch1_lnodds,-1.122646494885703,,0.0001115156187077,-9.101345898778156,26.721961104795746,0.35388344582370945,-0.08545957294400253,5.58230967860451,0.943196802501732,-0.7071067811865476,-0.7071067811865476,,0.7071067811865475,0.7071067811865469,-0.7071067811865475,0.7071067811865475,0.7071067811865475,0.7071067811865475
1027,ETH,coin,2021-09-30,Foundation;Layer-1;Payments;Smart Contract Platform,353421264860.0338,0.4285586095503142,0.2268576493230572,0.09326907427285103,0.4285586095503142,0.2268576493230572,0.09326907427285103,-2.6430087010559684,ch1_lnodds,-1.1862578497329457,,8.81774069497254e-05,-9.336159784797937,26.590926567234618,-0.12582625293617788,0.26475208391308613,4.829299254498941,0.9390363553955908,-0.7071067811865476,-0.7071067811865475,,0.7071067811865476,0.7071067811865475,-0.7071067811865475,0.7071067811865476,0.7071067811865475,0.7071067811865476
1027,ETH,coin,2021-10-31,Foundation;Layer-1;Payments;Smart Contract Platform,506663636947.22656,0.08008357753028128,-0.37308016649489195,-0.363307038568939,0.08008357753028128,-0.37308016649489195,-0.36496852821157705,-2.60979089537107,ch1_lnodds,-1.0898338482281331,,0.0001104464900102,-9.11097940759632,26.951113182391325,0.4285586095503142,0.3196817261995528,8.539792924013188,0.9314565138773868,-0.7071067811865475,-0.7071067811865475,,0.7071067811865469,0.7071067811865481,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865475
1027,ETH,coin,2021-11-30,Foundation;Layer-1;Payments;Smart Contract Platform,549085770690.6711,-0.20486888353125765,-0.3697042871928554,-0.580624659187841,-0.20486888353125765,-0.3697042871928554,-0.580624659187841,-2.5670104329989,ch1_lnodds,-1.1167314805895447,,9.430718316450588e-05,-9.268953197689271,27.031520497019436,0.08008357753028128,0.6907410639169267,6.764495844129927,0.8816727449897487,-1.1546944793273963,-1.128745848447842,,0.2380342428678311,1.0866185201972425,0.8838350207054779,-0.4498718021011607,0.92205822682566,0.5496520045925347
1027,ETH,coin,2021-12-31,Foundation;Layer-1;Payments;Smart Contract Platform,438128003490.8808,-0.27001170335797964,-0.10888677681874193,-0.7101805074452623,-0.27001170335797964,-0.10888677681874193,-0.7101805074452623,-2.5223421349703594,ch1_lnodds,-0.9302905586133852,,7.281982973876009e-05,-9.527522253330677,26.805776950040453,-0.20486888353125765,0.3488174795443446,5.974264626951931,0.9155249599265516,-1.0819905940345882,-1.0270692889202977,,0.04978926357749654,1.089969606808306,-0.5411425297044313,-0.04407929255200259,0.6112080594807549,0.9503987585794487
1027,ETH,coin,2022-01-31,Foundation;Layer-1;Payments;Smart Contract Platform,320959888865.3045,0.08589968287419403,0.015589119060584355,-0.3745004264014016,0.08589968287419403,0.015589119060584355,-0.3745004264014016,-2.4745706111451797,ch1_lnodds,-0.8809810714822414,,5.1493575464771264e-05,-9.874053506333164,26.49458199546277,-0.27001170335797964,0.2268576493230572,5.277388813660615,0.9234193640837416,-1.0502546806637714,-0.951351008580505,,0.09326779145514674,1.0701498280658166,0.35781986369483143,-0.2621395027661407,0.6137657531749774,0.7178765301904736
1027,ETH,coin,2022-02-28,Foundation;Layer-1;Payments;Smart Contract Platform,349638704203.75806,0.12415781616616095,-0.33463716745844685,-0.4677705249071892,0.12415781616616095,-0.33463716745844685,-0.4677705249071892,-2.4338054837277343,ch1_lnodds,-0.8634539426585319,,5.515306683748736e-05,-9.805398204790263,26.580166184564877,0.08589968287419403,-0.37308016649489195,1.800510625393176,0.9205902330438008,-1.07463942849973,-0.9162842334369679,,0.30588184040123034,1.2539909256063941,-0.610811619184172,-0.44378750122643745,-0.66142655183074,0.8297355505586189
1027,ETH,coin,2022-03-31,Foundation;Layer-1;Payments;Smart Contract Platform,394425928251.03046,-0.1680426776021401,-0.6747669263395202,-0.5953311536919609,-0.1680426776021401,-0.6747669263395202,-0.5953311536919609,-2.2952215291069247,ch1_lnodds,-0.9072262481408868,,6.102865951883529e-05,-9.704166975948036,26.700697198515645,0.12415781616616095,-0.36970428719285553,0.8984364950950667,0.918854848752352,-1.3651060733081108,-1.2044522787939362,,-0.16969227498619904,1.4890677307764708,-1.2359256653908743,-0.17911079267329802,0.041958078372711115,1.0011080994057948
1027,ETH,coin,2022-04-30,Foundation;Layer-1;Payments;Smart Contract Platform,329245687214.5968,-0.28857322780154104,-0.3841017377409647,-0.4239535357293138,-0.28857322780154104,-0.3841017377409647,-0.4239535357293138,-2.195506712405158,ch1_lnodds,-0.8880301611324036,,5.41106134341063e-05,-9.82448020957651,26.520070078667295,-0.1680426776021401,-0.10888677681874182,0.5217154720449915,0.9487022715828218,-1.0280114888080651,-1.1966881422884323,,-0.36575485888417425,1.521571851487537,0.8424311454780771,0.3946492680476491,-0.05671488898286402,0.8281007233304832
1027,ETH,coin,2022-05-31,Foundation;Layer-1;Payments;Smart Contract Platform,235021820715.0812,-0.45050537248285527,-0.2000913650980467,-0.3329197709754893,-0.45050537248285527,-0.2000913650980467,-0.3329197709754893,-2.139971776105556,ch1_lnodds,-0.890163746707954,,4.122280854620885e-05,-10.096518849301274,26.182944200886624,-0.28857322780154104,0.015589119060584578,0.18333853983570148,0.9566444208452568,-1.153092158326843,-1.266214276630734,,-0.5703483666065566,1.5299242225170975,-0.14846899202436772,0.4570112832184086,-0.2585607984956728,0.5901667194783047
1027,ETH,coin,2022-06-30,Foundation;Layer-1;Payments;Smart Contract Platform,129526314725.34952,0.5754888129041644,0.24424260347668292,0.12130852114675328,0.5754888129041644,0.24424260347668292,0.12130852114675328,-2.12181431613884,ch1_lnodds,-0.847414509552525,,2.587090356367404e-05,-10.56239163529185,25.58714989995552,-0.45050537248285527,-0.33463716745844685,0.005613917162367699,1.0168946039730316,-1.4741913387593362,-1.4163386853299345,,-0.6271693660810994,1.4764605192537874,-0.6788101739732922,-0.0832747970392266,-0.4493429754722407,0.4682080633969642
1027,ETH,coin,2022-07-31,Foundation;Layer-1;Payments;Smart Contract Platform,204771722888.5273,-0.07602204283760539,-0.06470516387264658,-0.05648585612519286,-0.07602204283760539,-0.06470516387264658,-0.05648585612519286,-2.1082071162650005,ch1_lnodds,-0.8825879530895978,,4.231882635047525e-05,-10.070278503538033,26.04516164874561,0.5754888129041644,-0.6747669263395202,-0.14605968146273907,1.0303667251071675,-1.4843720352240166,-1.444815758710847,,-0.5973395358955618,1.5127058318863962,1.1230226608501719,-0.1905804542246186,-0.5051533688707608,0.5428023135220158
1027,ETH,coin,2022-08-31,Foundation;Layer-1;Payments;Smart Contract Platform,189843590076.1421,-0.1452716021471807,-0.16605447182567756,0.033604105894195824,-0.1452716021471807,-0.16605447182567756,0.033604105894195824,-2.087596904175564,ch1_lnodds,-0.9455556640201362,,3.910257718678056e-05,-10.149322180439716,25.969466359957803,-0.07602204283760539,-0.3841017377409647,-0.5791757049706626,1.0176180182984933,-1.5197801745729889,-1.4999419502132676,,-0.3020530267942182,1.5192805396279068,0.5441635979346325,-0.005253603780143782,-0.7332554015976396,0.4284975249302557
1027,ETH,coin,2022-09-30,Foundation;Layer-1;Payments;Smart Contract Platform,162806430080.60345,0.18429199174523614,-0.09880234126883702,0.37202667804210043,0.18429199174523614,-0.09880234126883702,0.37202667804210043,-2.042039577647398,ch1_lnodds,-0.9398326408227816,,3.6246381972485134e-05,-10.225170989300288,25.815827786544475,-0.1452716021471807,-0.2000913650980467,-0.5102946482858961,1.0390176491117902,-1.458916743306654,-1.3838630179424374,,0.33560787827436256,1.5955767446053801,-0.4350635163256782,0.9918775640957374,-0.1600923233666996,0.0672900275730511
1027,ETH,coin,2022-10-31,Foundation;Layer-1;Payments;Smart Contract Platform,192459145336.39108,-0.17614504459607228,0.008787932350280192,0.1934298107024417,-0.17614504459607228,0.008787932350280192,0.1934298107024417,-1.9925187421686634,ch1_lnodds,-0.9810400214809998,,4.616725784630974e-05,-9.983239715751749,25.9831497361311,0.18429199174523614,0.24424260347668292,-0.48239471614416374,1.044657225808271,-1.45509538234823,-1.3785084687910898,,-0.1484292024173889,1.6042328108550983,1.4496023657895833,1.7522861075685066,0.48463298980645925,0.08785836064779046
1027,ETH,coin,2022-11-30,Foundation;Layer-1;Payments;Smart Contract Platform,158558424120.2237,-0.07634347211825965,0.23941441134286912,0.44643583855495805,-0.07634347211825965,0.23941441134286912,0.44643583855495805,-1.9343309399219548,ch1_lnodds,-0.8741072560296965,,4.015495998158756e-05,-10.122764588922838,25.789388968781825,-0.17614504459607228,-0.06470516387264669,-0.6903088665507982,1.0467759219037471,-1.7210024347576174,-1.6386758205728216,,-0.9809051322705297,1.59197228247461,0.7053841991879539,1.4584788335593377,0.27622513318476827,-0.14664707983195846
1027,ETH,coin,2022-12-31,Foundation;Layer-1;Payments;Smart Contract Platform,146453523490.14362,0.3256797308303525,0.5224481164030532,0.6153370997618148,0.3256797308303525,0.5224481164030532,0.6153370997618148,-1.9048164133119312,ch1_lnodds,-1.170283311873712,,4.079092518451167e-05,-10.10705092324183,25.70997396926937,-0.07634347211825965,-0.16605447182567756,-0.6604293066865815,1.0425346947260048,-1.5531323543960032,-1.3719608439586854,,-1.0647250226495268,1.5939671644420912,0.7770354761932753,1.1176092846463734,0.3645500239784778,-0.1626239206597685
1027,ETH,coin,2023-01-31,Foundation;Layer-1;Payments;Smart Contract Platform,194150467599.5421,0.01220253716249875,0.1830333932742254,0.16994702434028186,0.01220253716249875,0.1830333932742254,0.16994702434028186,-1.8673715323607691,ch1_lnodds,-1.2352375644428832,,5.4298355539772666e-05,-9.82101661620171,25.991899301565905,0.3256797308303525,-0.09880234126883702,-0.6481624318280532,1.0110027371989772,-1.7409174736193431,-1.5905770861444586,,-1.093737335483127,1.723137607339485,-0.5377882438166544,1.486337854171829,0.4231436021949508,-0.3880441112233816
