month_end,sma_coin_ew,star_coin_ew,avoid_coin_ew,convonly_coin_ew,valonly_coin_ew,sma_coin_vw,star_coin_vw,avoid_coin_vw,sma_token_ew,star_token_ew,avoid_token_ew,convonly_token_ew,valonly_token_ew,sma_token_vw,star_token_vw,avoid_token_vw,sma_pooled_ew,star_pooled_ew,avoid_pooled_ew,convonly_pooled_ew,valonly_pooled_ew,sma_pooled_vw,star_pooled_vw,avoid_pooled_vw,ew_universe
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,-0.09399159675949177
2015-10-31,,,,,,,,,,,,,,,,,,,,,,,,,0.028206435942932984
2015-11-30,,,,,,,,,,,,,,,,,,,,,,,,,-0.04552602142319533
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.05749910827421106
2016-01-31,,,,,,,,,,,,,,,,,,,,,,,,,0.19418972154365804
2016-02-29,,,,,,,,,,,,,,,,,,,,,,,,,0.21844020508971385
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.3226127113698633
2016-04-30,,,,,,,,,,,,,,,,,,,,,,,,,-0.08108673714441061
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,,,-0.04180616302182888
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.33886388353368524
2016-07-31,,,,,,,,,,,,,,,,,,,,,,,,,0.0006255266526130638
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,0.09192881350106118
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.08665960267238068
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,-0.1381737751786302
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,-0.1244483889951696
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.09990997082186749
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,0.21960473934324312
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,-0.005027208109092491
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.7860893965785859
2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,0.7302490240495609
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,0.9980935677031152
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.8327835372367361
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,-0.2699280378486201
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,0.7681078707200999
2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,-0.1274672509002817
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,-0.07079418713983869
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,0.34439438460034894
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,1.5199899566318371
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,0.040884683853800015
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,-0.28374853726028915
2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,-0.44411779398021
