cmc_id,symbol,name,picked_chainid,picked_address,reachable,n_platforms,platforms
3515,DEX,DEX,1,0x497bAEF294c11a5f0f5Bea3f2AdB3073DB448B56,True,1,Ethereum:0x497bAEF294c11a5f0f5Bea3f2AdB3073DB448B56
3637,AERGO,Aergo,1,0x91af0fbb28aba7e31403cb457106ce79397fd4e6,True,2,Ethereum:0x91af0fbb28aba7e31403cb457106ce79397fd4e6 | BNB Beacon Chain (BEP2):AERGO-46B
3653,BRC,Baer Chain,,,False,0,
3748,HXRO,Hxro,1,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,True,2,Ethereum:0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3 | Solana:HxhWkVpk5NS4Ltg5nij2G671CKXFRKPK8vy271Ub4uEK
3792,USDE,USDe,,,False,0,
3814,CELR,Celer Network,1,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,True,5,Ethereum:0x4f9254c83eb525f9fcf346490bbb3ed28a81c667 | BNB Smart Chain (BEP20):0x1f9f6a696c6fd109cd3956f45dc709d2b3902163 | Moonbeam:0x3795C36e7D12A8c252A20C5a7B455f7c57b60283 | Oasis Network:0xf6a939e773fa4a63fd53f86bbbb279caad955035 | Metis Andromeda:0x516e6D96896Aea92cE5e78B0348FD997F13802ad
3822,TFUEL,Theta Fuel,,,False,0,
3835,ORBS,Orbs,1,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,True,8,Ethereum:0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa | BNB Smart Chain (BEP20):0x43a8cab15D06d3a5fE5854D714C37E7E9246F170 | Solana:7JnHPPJBBKSTJ7iEmsiGSBcPJgbcKw28uCRXtQgimncp | Fantom:0x43a8cab15D06d3a5fE5854D714C37E7E9246F170 | Polygon:0x614389eaae0a6821dc49062d56bda3d9d45fa2ff | Avalanche C-Chain:
3840,FST,1irstcoin,1,0x310c93dfc1c5e34cdf51678103f63c41762089cd,True,1,Ethereum:0x310c93dfc1c5e34cdf51678103f63c41762089cd
3855,LOCUS,Locus Chain,1,0xc64500dd7b0f1794807e67802f8abbf5f8ffb054,True,1,Ethereum:0xc64500dd7b0f1794807e67802f8abbf5f8ffb054
3874,IRIS,IRISnet,1,0x76C4A2B59523eaE19594c630aAb43288dBB1463f,True,3,Ethereum:0x76C4A2B59523eaE19594c630aAb43288dBB1463f | Polygon:0x3dc6052a693E4a2fc28Eb2Ea12fe0CfD3BD221D1 | Osmosis:ibc/7C4D60AA95E5A7558B0A364860979CA34B7FF8AAF255B87AF9E879374470CEC0
3911,OCEAN,Ocean Protocol,1,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,True,2,Ethereum:0x967da4048cd07ab37855c090aaf366e4ce1b9f48 | Sora:0x002ca40397c794e25dba18cf807910eeb69eb8e81b3f07bb54f7c5d1d8ab76b9
3916,THX,ThoreNext,1,0xf08c68bd5f4194d994fd70726746bf529ee5a617,True,1,Ethereum:0xf08c68bd5f4194d994fd70726746bf529ee5a617
3928,IDEX,IDEX,1,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,True,1,Ethereum:0xb705268213d593b8fd88d3fdeff93aff5cbdcfae
3930,TT,ThunderCore,1,0x1E053D89E08c24aA2CE5C5B4206744Dc2D7BD8F5,True,3,Ethereum:0x1E053D89E08c24aA2CE5C5B4206744Dc2D7BD8F5 | BNB Smart Chain (BEP20):0x990e7154bb999faa9b2fa5ed29e822703311ea85 | ThunderCore:0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
3992,COTI,COTI,1,0xDDB3422497E61e13543BeA06989C0789117555c5,True,2,Ethereum:0xDDB3422497E61e13543BeA06989C0789117555c5 | BNB Smart Chain (BEP20):0xadbaf88b39d37dc68775ed1541f1bf83a5a45feb
4006,AWE,AWE,8453,0x1B4617734C43F6159F3a70b7E06d883647512778,True,1,Base:0x1B4617734C43F6159F3a70b7E06d883647512778
4090,WXT,Wirex Token,1,0xa02120696c7B8fE16C09C749E4598819b2B0E915,True,3,Ethereum:0xa02120696c7B8fE16C09C749E4598819b2B0E915 | Stellar:WXT-GASBLVHS5FOABSDNW5SPPH3QRJYXY5JHA2AOA2QHH2FJLZBRXSG4SWXT | Avalanche C-Chain:0xfcDe4A87b8b6FA58326BB462882f1778158B02F1
4113,UNI,UNI COIN,1,0xe6877ea9c28fbdec631ffbc087956d0023a76bf2,True,1,Ethereum:0xe6877ea9c28fbdec631ffbc087956d0023a76bf2
4134,AKRO,Kaon,1,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,True,1,Ethereum:0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7
4157,RUNE,THORChain,,,False,1,THORChain:THOR.RUNE
4172,LUNC,Terra Classic,1,0xbd31ea8212119f94a611fa969881cba3ea06fa3d,True,8,Ethereum:0xbd31ea8212119f94a611fa969881cba3ea06fa3d | BNB Smart Chain (BEP20):0x156ab3346823B651294766e23e6Cf87254d68962 | Solana:F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W | Terra Classic:uluna | Polygon:0x9cd6746665D9557e1B9a775819625711d0693439 | Avalanche C-Chain:0x70928E5B188def72817b7775F0BF
4195,FTT,FTX Token,1,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,True,3,Ethereum:0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9 | BNB Beacon Chain (BEP2):FTT-F11 | Solana:AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3
4206,WIN,WINkLink,56,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99,True,2,BNB Smart Chain (BEP20):0xaef0d72a118ce24fee3cd1d43d383897d05b4e99 | Tron20:TLa2f6VPqDgRE67v1736s7bJ8Ray5wYjU7
4217,BOA,BOSagora,1,0x51bD4f39803fcAEFf3ef45aae2C3aaFf0B9faDcb,True,1,Ethereum:0x51bD4f39803fcAEFf3ef45aae2C3aaFf0B9faDcb
4279,SXP,Solar,,,False,0,
4360,FAB,FABRK,1,0x12683dc9eec95a5f742d40206e73319e6b9d8a91,True,1,Ethereum:0x12683dc9eec95a5f742d40206e73319e6b9d8a91
4484,CRN,ChronoCoin,,,False,1,Neo:c875e3e1a9f7ba1291aea40cead371754dfcb3de
4566,XDB,XDB CHAIN,,,False,0,
4598,ACA,Acash Coin,1,0x63d958d765f5bd88efdbd8afd32445393b24907f,True,1,Ethereum:0x63d958d765f5bd88efdbd8afd32445393b24907f
4679,BAND,Band,1,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,True,4,Ethereum:0xba11d00c5f74255f56a5e366f4f77f5a186d7f55 | BNB Smart Chain (BEP20):0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18 | Gnosis Chain:0xe154A435408211AC89757B76C4FbE4Dc9ED2Ef27 | Fantom:0x46E7628E8b4350b2716ab470eE0bA1fa9e76c6C5
4862,DAD,DAD,1,0x5b322514ff727253292637d9054301600c2c81e8,True,1,Ethereum:0x5b322514ff727253292637d9054301600c2c81e8
5007,TROY,TROY,1,0x4574562e9310a94f9ca962bd23168d8a06875b1a,True,3,Ethereum:0x4574562e9310a94f9ca962bd23168d8a06875b1a | BNB Smart Chain (BEP20):0x6d41F64C567acbF36f88763306fF6fB50fF61458 | BNB Beacon Chain (BEP2):TROY-9B8
5015,HEX,HEX,1,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,True,2,Ethereum:0x2b591e99afe9f32eaa6214f7b7629768c40eeb39 | Polygon:0x23D29D30e35C5e8D321e1dc9A8a61BFD846D4C5C
5103,IPX,Tachyon Protocol,,,False,0,
5113,SURE,inSure DeFi,1,0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,True,4,Ethereum:0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e | BNB Smart Chain (BEP20):0x9b17baadf0f21f03e35249e0e59723f34994f806 | Polygon:0xF88332547c680F755481Bf489D890426248BB275 | Avalanche C-Chain:0x5fc17416925789e0852fbfcd81c490ca4abc51f9
