cmc_id,symbol,name,asset_class,chainid,address,reachable,getlogs_free,contract,ch1,ch1_event,ch1_logs,ch1_firstblock,ch2,ch3,ch3_event,ch3_logs,ch3_firstblock,n_platforms
2399,INT,INT,other,1,0xbe038a2fdfec62cf1bed852f141a43005035edcc,yes,yes,INTToken,-,,,,Transfer-log,-,,,,2
37028,INTCX,Intel tokenized stock (xStock),other,1,0xf8a80d1cb9cfd70d03d655d9df42339846f3b3c8,yes,yes,BackedTokenProxy->impl:BackedAutoFeeTokenImplementation,-,,,,Transfer-log,-,,,,6
29835,IO,io.net,other,,,no,,,-,,,,,-,,,,1
2433,IPC,IPChain,other,,,no,,,-,,,,,-,,,,0
28367,IPV,IPVERSE,other,1,0x3E2c956b4Ab4807B2f942235c9074d9BD069e9f0,yes,yes,IPVERSE,-,,,,Transfer-log,-,,,,1
1845,IXT,IXT,other,1,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,yes,yes,CrowdsaleToken,-,,,,Transfer-log,-,,,,1
5677,IZE,IZE,other,1,0x6944d3e38973C4831dA24E954fbD790c7E688bDd,yes,yes,IzeToken,-,,,,Transfer-log,-,,,,1
8425,JASMY,JasmyCoin,other,1,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,yes,yes,JasmyCoin,-,,,,Transfer-log,-,,,,1
3828,JCT,Japan Content Token,other,1,0x7fe92ec600f15cd25253b421bc151c51b0276b7d,yes,yes,Token,-,,,,Transfer-log,-,,,,1
645,JINN,Jinn,other,,,no,,,-,,,,,-,,,,0
22533,JITOSOL,Jito Staked SOL,other,8453,0x97be14dd8f994a5364573bc035d85309e7cb34de,yes,no(PAID),CrossChainERC20,-,,,,Transfer-log(PAID),-,,,,2
481,JLH,jl777hodl,other,,,no,,,-,,,,,-,,,,0
1516,JNS,Janus,other,,,no,,,-,,,,,-,,,,0
2498,JNT,Jibrel Network,other,1,0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7,yes,yes,JNTViewERC20,-,,,,Transfer-log,-,,,,1
4967,JUL,Joule,other,,,no,,,-,,,,,-,,,,0
1379,JWL,Jewels,other,,,no,,,-,,,,,-,,,,0
3791,JWL,Jewel,other,1,0x8275ebf521dc217aa79c88132017a5bcef001dd9,yes,yes,JewelToken,-,,,,Transfer-log,-,,,,1
2934,KAN,BitKan,other,1,0x1410434b0346f5be678d0fb554e5c7ab620f8f4a,yes,yes,KanCoin,-,,,,Transfer-log,-,,,,1
24382,KAU,Kinesis Gold,other,1,0x14DAB79fD7B7B3f748d434812Fd6a9Aac460EA52,yes,yes,Proxy->impl:ERC20F,-,,,,Transfer-log,-,,,,1
2379,KCASH,Kcash,other,1,0x32d74896f05204d1b6ae7b0a3cebd7fc0cd8f9c7,yes,yes,KcashToken,-,,,,Transfer-log,-,,,,1
2087,KCS,KuCoin Token,other,1,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,yes,yes,KCSToken,-,,,,Transfer-log,-,,,,2
2398,KEY,SelfKey,other,1,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,yes,yes,SelfKeyToken,-,,,,Transfer-log,-,,,,2
6170,KFX,KnoxFS,other,,,no,,,-,,,,,-,,,,0
39072,KHYPE,Kinetiq Staked HYPE,other,,,no,,,-,,,,,-,,,,1
2017,KICK,KickToken [old],other,1,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,yes,yes,KickToken,-,,,,Transfer-log,-,,,,1
6724,KLV,Klever Coin,other,,,no,,,-,,,,,-,,,,0
7184,KOGE,48 Club Token,other,56,0xe6df05ce8c8301223373cf5b969afcb1498c5528,yes,no(PAID),KogeToken,-,,,,Transfer-log(PAID),-,,,,1
5185,KOK,KOK,other,1,0x9b9647431632af44be02ddd22477ed94d14aacaa,yes,yes,KOKContract,-,,,,Transfer-log,-,,,,1
400,KORE,Kore,other,,,no,,,-,,,,,-,,,,0
1224,KR,Krypton,other,,,no,,,-,,,,,-,,,,0
2378,KRM,Karma,other,,,no,,,-,,,,,-,,,,0
2090,LA,LATOKEN,other,1,0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf,yes,yes,LATToken,-,,,,Transfer-log,-,,,,1
3657,LAMB,Lambda,other,1,0x8971f9fd7196e5cee2c1032b50f656855af7dd26,yes,yes,Lambda,-,,,,Transfer-log,-,,,,1
9720,LAT,PlatON,other,,,no,,,-,,,,,-,,,,0
2760,LBA,Cred,other,1,0xfe5f141bf94fe84bc28ded0ab966c16b17490657,yes,yes,LibraToken,-,,,,Transfer-log,-,,,,1
4950,LCX,LCX,other,1,0x8CD41041505885EF0aD3858181D66f17BE8aae7E,yes,yes,TransparentUpgradeableProxy->impl:LCXToken,-,,,,Transfer-log,-,,,,1
3957,LEO,UNUS SED LEO,other,1,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,yes,yes,LEO,-,,,,Transfer-log,-,,,,1
2468,LET,LinkEye,other,1,0xfa3118b34522580c35ae27f6cf52da1dbb756288,yes,yes,LinkEyeStandardToken,-,,,,Transfer-log,-,,,,1
2600,LGO,LGO Token,other,1,0x0a50c93c762fdd6e56d86215c24aaad43ab629aa,yes,yes,NewLGO,-,,,,Transfer-log,-,,,,1
27657,LINEA,Linea,other,59144,0x1789e0043623282d5dcc7f213d703c6d8bafbb04,yes,no(PAID),TransparentUpgradeableProxy->impl:L2LineaToken,-,,,,Transfer-log(PAID),ERC20Votes-ABIonly[PAID-chain],"DelegateVotesChanged(address,uint256,uint256)",,,1
1975,LINK,Chainlink,other,1,0x514910771af9ca656af840dff83e8264ecf986ca,yes,yes,LinkToken,-,,,,Transfer-log,-,,,,35
1309,LIR,LetItRide,other,,,no,,,-,,,,,-,,,,0
1454,LKK,Lykke,other,,,no,,,-,,,,,-,,,,0
3178,LKY,Linkey,other,,,no,,,-,,,,,-,,,,0
1380,LMC,LoMoCoin,other,,,no,,,-,,,,,-,,,,0
3636,LML,Lisk Machine Learning,other,1,0x25b6325f5bb1c1e03cfbc3e53f470e1f1ca022e3,yes,yes,LMLToken,-,,,,Transfer-log,-,,,,1
2287,LOC,LockTrip,other,1,0x5e3346444010135322268a4630d2ed5f8d09446c,yes,yes,LockChain,-,,,,Transfer-log,-,,,,1
17081,LOOKS,LooksRare,other,1,0xf4d2888d29D722226FafA5d9B24F9164c092421E,yes,yes,LooksRareToken,-,,,,Transfer-log,-,,,,1
2588,LOOM,Loom Network,other,1,0x42476F744292107e34519F9c357927074Ea3F75D,yes,yes,LoomToken,-,,,,Transfer-log,-,,,,2
3640,LPT,Livepeer,other,1,0x58b6a8a3302369daec383334672404ee733ab239,yes,yes,LivepeerToken,-,,,,Transfer-log,-,,,,2
5329,LRG,Largo Coin,other,,,no,,,-,,,,,-,,,,0
23782,LSETH,Liquid Staked ETH,other,1,0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549,yes,yes,TUPProxy->impl:RiverV1,-,,,,Transfer-log,-,,,,2
5009,LST,LuckySevenToken,other,1,0x6b9F1F092E0B10015a4391A80cD3E6B6cefD1728,yes,yes,LuckySevenToken,-,,,,Transfer-log,-,,,,1
550,LTBC,LTBcoin,other,,,no,,,-,,,,,-,,,,0
1068,LTD,LimitedCoin,other,,,no,,,-,,,,,-,,,,0
1658,LUN,Lunyr,other,1,0xfa05A73FfE78ef8f1a739473e462c54bae6567D9,yes,yes,LunyrToken,-,,,,Transfer-log,-,,,,1
5094,LVX,Level01,other,1,0x261638EC8ee8100484130EBD2fEBfDAdC0D8742a,yes,yes,Level01Token,-,,,,Transfer-log,-,,,,1
3070,LXT,Litex,other,1,0xbc46d9961a3932f7d6b64abfdec80c1816c4b835,yes,yes,LiteXToken,-,,,,Transfer-log,-,,,,1
2554,LYM,Lympo,other,1,0xc690f7c7fcffa6a82b79fab7508c466fefdfc8c5,yes,yes,LympoToken,-,,,,Transfer-log,-,,,,1
5625,LYXe,LUKSO (Old),other,1,0xA8b919680258d369114910511cc87595aec0be6D,yes,yes,ReversibleICOToken,-,,,,Transfer-log,-,,,,1
291,MAID,MaidSafeCoin,other,,,no,,,-,,,,,-,,,,0
1966,MANA,Decentraland,other,1,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,yes,yes,MANAToken,-,,,,Transfer-log,-,,,,4
13631,MANTA,Manta Network,other,,,no,,,-,,,,,-,,,,1
1056,MAPC,MapCoin,other,,,no,,,-,,,,,-,,,,0
3175,MARO,Maro,other,,,no,,,-,,,,,-,,,,0
651,MARYJ,MaryJane,other,,,no,,,-,,,,,-,,,,0
8536,MASK,Mask Network,other,1,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,yes,yes,MaskToken,-,,,,Transfer-log,-,,,,3
5548,MASS,Massnet,other,,,no,,,-,,,,,-,,,,0
5616,MATH,MATH,other,1,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,yes,yes,MATHToken,-,,,,Transfer-log,-,,,,4
4469,MB,MineBee,other,1,0x8d8129963291740dddd917ab01af18c7aed4ba58,yes,yes,MineBee,-,,,,Transfer-log,-,,,,1
4209,MB8,MB8 Coin,other,,,no,,,-,,,,,-,,,,0
7059,MBN,Mobilian Coin,other,1,0xaf80951201a0eff85a0fd3adf4c7043db856d3e6,yes,yes,Mobilian,-,,,,Transfer-log,-,,,,1
1815,MBRS,Embers,other,1,0x386467f1f3ddbe832448650418311a479eecfc57,yes,yes,HumanStandardToken,-,,,,Transfer-log,-,,,,1
18895,MBX,MARBLEX,other,56,0xF95a5532D67C944dfa7EDDD2f8c358Fe0dc7FAc2,yes,no(PAID),MBXToken,-,,,,Transfer-log(PAID),-,,,,3
1690,MCAP,MCAP,other,1,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,yes,yes,MCAP,-,,,,Transfer-log,-,,,,1
1776,MCO,MCO,other,1,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,yes,yes,CroToken,-,,,,Transfer-log,-,,,,1
16946,MCT,Metacraft,other,56,0xdf677713a2c661ecd0b2bd4d7485170aa8c1eceb,yes,no(PAID),MetaCraftToken,-,,,,Transfer-log(PAID),ERC20Votes-ABIonly[PAID-chain],"DelegateVotesChanged(address,uint256,uint256)",,,1
1954,MDA,Moeda Loyalty Points,other,1,0x51db5ad35c671a87207d88fc11d593ac0c8415bd,yes,yes,MoedaToken,-,,,,Transfer-log,-,,,,1
2274,MDS,MediShares,other,1,0x66186008C1050627F979d464eABb258860563dbE,yes,yes,HumanStandardToken,-,,,,Transfer-log,-,,,,1
32197,ME,Magic Eden,other,,,no,,,-,,,,,-,,,,1
2303,MED,MediBloc,other,,,no,,,-,,,,,-,,,,1
2845,MEDX,MediBloc [ERC20],other,,,no,,,-,,,,,-,,,,0
35347,MELANIA,Official Melania Meme,other,,,no,,,-,,,,,-,,,,1
1590,MER,Mercury,other,,,no,,,-,,,,,-,,,,0
29035,METH,Mantle Staked Ether,other,1,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,yes,yes,TransparentUpgradeableProxy->impl:METH,-,,,,Transfer-log,-,,,,2
4676,MEXC,MEXC Token,other,,,no,,,-,,,,,-,,,,0
1649,MGC,MergeCoin,other,,,no,,,-,,,,,-,,,,0
29839,MGC,Meta Games Coin,other,56,0xbb73BB2505AC4643d5C0a99c2A1F34B3DfD09D11,yes,no(PAID),MetaGameCoin,-,,,,Transfer-log(PAID),-,,,,1
1715,MGO,MobileGo,other,1,0x40395044Ac3c0C57051906dA938B54BD6557F212,yes,yes,MobileGoToken,-,,,,Transfer-log,-,,,,1
556,MGW,MGW,other,,,no,,,-,,,,,-,,,,0
3756,MHC,#MetaHash,other,,,no,,,-,,,,,-,,,,0
1051,MI,Xiaomicoin,other,,,no,,,-,,,,,-,,,,0
989,MMBTCD,MMBTCD,other,,,no,,,-,,,,,-,,,,0
686,MMNXT,MMNXT,other,,,no,,,-,,,,,-,,,,0
1673,MNE,Minereum,other,1,0x426ca1ea2406c07d75db9585f22781c096e3d0e0,yes,yes,Minereum,-,,,,Transfer-log,-,,,,1
27075,MNT,Mantle,other,1,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,yes,yes,TransparentUpgradeableProxy->impl:L1MantleToken,-,,,,Transfer-log,ERC20Votes-ACTIVE,"DelegateVotesChanged(address,uint256,uint256)",100,17543480,3
32856,MNT,Mr Mint,other,56,0x3e81aa8d6813ec9d7e6ddb4e523fb1601a0e86f3,yes,no(PAID),MrMint,-,,,,Transfer-log(PAID),-,,,,1
575,MNTA,Moneta,other,,,no,,,-,,,,,-,,,,0
7878,MOB,MobileCoin,other,,,no,,,-,,,,,-,,,,0
24600,MOBILE,Helium Mobile,other,,,no,,,-,,,,,-,,,,1
2915,MOC,Moss Coin,other,1,0x8bbfe65e31b348cd823c62e02ad8c19a84dd0dab,yes,yes,MossCoin,-,,,,Transfer-log,ERC20Votes-DORMANT,"DelegateVotesChanged(address,uint256,uint256)",,,1
31526,MOCA,Moca Network,other,1,0xf944e35f95e819e752f3ccb5faf40957d311e8c5,yes,yes,MocaToken,-,,,,Transfer-log,-,,,,2
2080,MOD,Modum,other,1,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,yes,yes,ModumToken,-,,,,Transfer-log,-,,,,1
2441,MOF,Molecular Future,other,,,no,,,-,,,,,-,,,,1
27659,MOG,Mog Coin,other,1,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,yes,yes,MOG,-,,,,Transfer-log,-,,,,4
33093,MOODENG,Moo Deng (moodengsol.com),other,,,no,,,-,,,,,-,,,,1
155,MRC,microCoin,other,,,no,,,-,,,,,-,,,,0
621,MRKT,FreeMarket,other,,,no,,,-,,,,,-,,,,0
21178,MRS,Metars Genesis,other,56,0x238d02ee3f80fbf5e381f049616025c186889b68,yes,no(PAID),MetarsToken,-,,,,Transfer-log(PAID),-,,,,1
1550,MSCN,Master Swiscoin,other,,,no,,,-,,,,,-,,,,0
11461,MSOL,Marinade Staked SOL,other,1,0x756bFb452cFE36A5Bc82e4F5f4261A89a18c242b,yes,yes,BridgeToken->impl:TokenImplementation,-,,,,Transfer-log,-,,,,2
2711,MTC,DOC.COM,other,1,0x905E337c6c8645263D3521205Aa37bf4d034e745,yes,yes,MTC,-,,,,Transfer-log,-,,,,1
6498,MTC,Metacoin,other,,,no,,,-,,,,,-,,,,0
1788,MTL,Metal DAO,other,,,no,,,-,,,,,-,,,,1
2497,MTN,Medicalchain,other,1,0x41dbecc1cdc5517c6f76f6a6e836adbee2754de3,yes,yes,MtnToken,-,,,,Transfer-log,-,,,,1
4451,MTXLT,Tixl [old],other,,,no,,,-,,,,,-,,,,0
28412,MUBI,Multibit,other,1,0x38e382f74dfb84608f3c1f10187f6bef5951de93,yes,yes,BRC20,-,,,,Transfer-log,-,,,,1
17050,MULTI,Multichain,other,1,0x65ef703f5594d2573eb71aaf55bc0cb548492df4,yes,yes,MultichainToken,-,,,,Transfer-log,-,,,,6
30285,MUMU,Mumu the Bull (SOL),other,,,no,,,-,,,,,-,,,,1
8502,MUSH,Mushroom,other,1,0xea6412fb370e8d1605e6aeeaa21ad07c3c7e9f24,yes,yes,MUSHToken,-,,,,Transfer-log,-,,,,1
17704,MV,GensoKishi Metaverse,other,1,0xAE788F80F2756A86aa2F410C651F2aF83639B95b,yes,yes,Metaverse,-,,,,Transfer-log,-,,,,2
4041,MX,MX Token,other,1,0x11eef04c884e24d9b7b4760e7476d06ddf797f36,yes,yes,MXToken,-,,,,Transfer-log,-,,,,1
3628,MXC,Moonchain,other,1,0xaedf7656fbb47c5b97dd529ac1d0e807e051f2dd,yes,yes, [UNVERIFIED],-,,,,Transfer-log,-,,,,1
1902,MYB,MyBit,other,1,0x5d60d8d7ef6d37e16ebabc324de3be57f135e0bc,yes,yes,ERC20,-,,,,Transfer-log,-,,,,1
28382,MYRO,Myro,other,,,no,,,-,,,,,-,,,,1
1721,MYST,Mysterium,other,1,0x4Cf89ca06ad997bC732Dc876ed2A7F26a9E7f361,yes,yes,MystToken,-,,,,Transfer-log,-,,,,3
12749,NAKA,Nakamoto Games,other,137,0x311434160d7537be358930def317afb606c0d737,yes,yes,PowerfulERC20,-,,,,Transfer-log,-,,,,1
2595,NANJ,NANJCOIN,other,1,0xffe02ee4c69edf1b340fcad64fbd6b37a7b9e265,yes,yes,NANJCOIN,-,,,,Transfer-log,-,,,,1
267,NAS,Nas,other,,,no,,,-,,,,,-,,,,0
1908,NAS,Nebulas,other,,,no,,,-,,,,,-,,,,0
321,NAUT,NautilusCoin,other,,,no,,,-,,,,,-,,,,0
2544,NCASH,Nitro Network,other,43114,0xc69Eba65e87889f0805dB717Af06797055A0BA07,yes,no(PAID),TransparentUpgradeableProxy->impl:NitroNetwork,-,,,,Transfer-log(PAID),-,,,,1
1872,NDC,NEVERDIE,other,1,0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970,yes,yes,HumanStandardToken,-,,,,Transfer-log,-,,,,1
32521,NEIRO,Neiro,other,1,0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,yes,yes,Neiro,-,,,,Transfer-log,-,,,,4
1811,NET,Nimiq Exchange Token,other,,,no,,,-,,,,,-,,,,0
3788,NET,NEXT,other,1,0xF29226914595052a04F5AFbe6410D0C3eD707548,yes,yes,NextCoin,-,,,,Transfer-log,-,,,,1
2694,NEXO,Nexo,other,1,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,yes,yes,NexoToken,-,,,,Transfer-log,-,,,,3
9816,NFT,AINFT,other,1,0x198d14f2ad9ce69e76ea330b374de4957c3f850a,yes,yes,NFT,-,,,,Transfer-log,-,,,,3
2305,NGC,NAGA,other,1,0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131,yes,yes,NAGACoin,-,,,,Transfer-log,-,,,,1
39064,NIGHT,Midnight,other,56,0xfe930c2d63aed9b82fc4dbc801920dd2c1a3224f,yes,no(PAID),WrappedToken,-,,,,Transfer-log(PAID),-,,,,2
29447,NMT,NetMind Token,other,1,0x03AA6298F1370642642415EDC0db8b957783e8D6,yes,yes,NetMindTokenProxy->impl:NetMindToken,-,,,,Transfer-log,-,,,,2
2599,NOAH,Noah Coin,other,1,0x41b3F18c6384Dc9A39c33AFEcA60d9b8e61eAa9F,yes,yes,NOAHPToken,-,,,,Transfer-log,-,,,,1
595,NODE,Node,other,,,no,,,-,,,,,-,,,,0
28850,NOT,Notcoin,other,,,no,,,-,,,,,-,,,,1
748,NOXT,NobleNXT,other,,,no,,,-,,,,,-,,,,0
4110,NPC,NPCoin,other,,,no,,,-,,,,,-,,,,0
27960,NPC,Non-Playable Coin,other,1,0x8ed97a637a790be1feff5e888d43629dc05408f6,yes,yes,NPC,-,,,,Transfer-log,-,,,,4
2603,NPXS,Pundi X,other,1,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,yes,yes,NPXSToken,-,,,,Transfer-log,-,,,,1
699,NSR,NuShares,other,,,no,,,-,,,,,-,,,,0
4761,NU,NuCypher,other,1,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,yes,yes,NuCypherToken,-,,,,Transfer-log,-,,,,1
1794,NVST,NVO,other,,,no,,,-,,,,,-,,,,0
4890,NWC,Numerico,other,1,0x968f6f898a6df937fc1859b323ac2f14643e3fed,yes,yes,NWC,-,,,,Transfer-log,-,,,,3
1481,NXC,Nexium,other,1,0x45e42D659D9f9466cD5DF622506033145a9b89Bc,yes,yes,Nexium,-,,,,Transfer-log,-,,,,1
667,NXTI,NXTInspect,other,,,no,,,-,,,,,-,,,,0
532,NXTTY,Nxttycoin,other,,,no,,,-,,,,,-,,,,0
622,NXTV,NXTventure,other,,,no,,,-,,,,,-,,,,0
649,NXTcoinsco,Tradebots,other,,,no,,,-,,,,,-,,,,0
647,NXTprivacy,NXTprivacy,other,,,no,,,-,,,,,-,,,,0
4268,NYE,NewYork Exchange,other,1,0x6f5e77cea0abdda40013a8ef53639c96972fb745,yes,yes,NewYorkExchangeCoinToken,-,,,,Transfer-log,-,,,,3
1853,OAX,OAX,other,1,0x701c244b988a513c945973defa05de933b23fe1d,yes,yes,OpenANXToken,-,,,,Transfer-log,-,,,,1
1123,OBITS,OBITS,other,,,no,,,-,,,,,-,,,,0
2458,OCN,Odyssey,other,1,0x4092678e4E78230F46A1534C0fbc8fA39780892B,yes,yes,OCoin,-,,,,Transfer-log,-,,,,1
2005,ODN,Obsidian,other,,,no,,,-,,,,,-,,,,0
3897,OKB,OKB,other,,,no,,,-,,,,,-,,,,1
3782,ONOT,ONOToken,other,1,0xb31c219959e06f9afbeb36b388a4bad13e802725,yes,yes,DSToken,-,,,,Transfer-log,-,,,,1
