cmc_id,symbol,month_end,market_cap,tvl_usd,tvl0_smooth,tvl_nmonths_12,g,g_window_years,g_capped,beta,r_e,tvl_star,nv_tvl_gl,nv_tvl_raw,asset_class,sector
1104,REP,2020-03-31,112051091.3522,221693.0,,1.0,,,False,0.7456580954708141,0.26369742864124424,,,505.4336012061725,token,Prediction Market;DePIN;Storage
1104,REP,2020-04-30,116816923.1438,348671.0,,2.0,,,False,0.7119609885677547,0.2535882965703264,,,335.0348125992698,token,Prediction Market;DePIN;Storage
1104,REP,2020-05-31,138229033.53489998,390095.0,,3.0,,,False,0.7581213536529303,0.2674364060958791,,,354.3471040000512,token,Prediction Market;DePIN;Storage
1104,REP,2020-06-30,180830516.7306,363280.0,,4.0,,,False,0.7420064006214203,0.2626019201864261,,,497.77173731171547,token,Prediction Market;DePIN;Storage
1104,REP,2020-07-31,219677258.196,546132.0,,5.0,,,False,0.7641771947055168,0.26925315841165504,,,402.24205539320167,token,Prediction Market;DePIN;Storage
1104,REP,2020-08-31,240552866.9247,792265.0,443689.3333333333,6.0,,,False,0.7409698319892981,0.26229094959678945,,,303.6267750370141,token,Prediction Market;DePIN;Storage
1104,REP,2020-09-30,156181854.5237817,843496.0,500804.5714285714,7.0,,,False,0.7505640747581739,0.26516922242745217,,,185.1601602423505,token,Prediction Market;DePIN;Storage
1104,REP,2020-10-31,135112382.99944407,3045705.0,818917.125,8.0,,,False,0.8320290017657344,0.28960870052972026,,,44.361611843380786,token,Prediction Market;DePIN;Storage
1104,REP,2020-11-30,172898187.23860154,9202045.0,1750375.7777777778,9.0,,,False,0.8170786635752985,0.2851235990725895,,,18.7891047303726,token,Prediction Market;DePIN;Storage
1104,REP,2020-12-31,177929434.1792904,11721230.0,2747461.2,10.0,,,False,0.4853004828454108,0.18559014485362324,,,15.180099202838816,token,Prediction Market;DePIN;Storage
1104,REP,2021-01-31,191522727.89013177,12434865.0,3628134.272727273,11.0,,,False,0.5116302103696686,0.19348906311090058,,,15.40207536552522,token,Prediction Market;DePIN;Storage
1104,REP,2021-02-28,259622306.9269522,2561768.0,3539270.4166666665,12.0,,,False,0.5358843778976481,0.20076531336929443,,,101.34497227186544,token,Prediction Market;DePIN;Storage
1104,REP,2021-03-31,451834165.5225754,2785393.0,3752912.0833333335,12.0,,,False,0.5536233523318154,0.2060870056995446,,,162.21558879575534,token,Prediction Market;DePIN;Storage
1104,REP,2021-04-30,441332511.9533994,3608558.0,4024569.3333333335,12.0,,,False,0.5013456854460047,0.1904037056338014,,,122.30162628767486,token,Prediction Market;DePIN;Storage
1104,REP,2021-05-31,267169932.50091925,3411357.0,4276341.166666667,12.0,,,False,0.5594990291728652,0.20784970875185957,,,78.31778746725108,token,Prediction Market;DePIN;Storage
1104,REP,2021-06-30,176805775.11800864,1846481.0,4399941.25,12.0,,,False,0.5863290600173197,0.2158987180051959,,,95.75282665676421,token,Prediction Market;DePIN;Storage
1104,REP,2021-07-31,290623582.521799,2054251.0,4525617.833333333,12.0,,,False,0.6447162334030937,0.23341487002092812,,,141.474231981291,token,Prediction Market;DePIN;Storage
1104,REP,2021-08-31,309400506.7787697,2725935.0,4686757.0,12.0,2.0,1.0,True,0.6163860281882259,0.22491580845646775,65730575393.79369,0.004707101754779152,113.50252547429402,token,Prediction Market;DePIN;Storage
1104,REP,2021-09-30,224152243.75854972,2405650.0,4816936.5,12.0,2.0,1.0,True,0.6142700287071255,0.22428100861213768,67931000959.91318,0.0032997047090594822,93.17741307278686,token,Prediction Market;DePIN;Storage
1104,REP,2021-10-31,275748288.35458523,3480615.0,4853179.0,12.0,2.0,1.0,True,0.6176452651189287,0.2252935795356786,67841264329.829094,0.004064610102399604,79.22401309957729,token,Prediction Market;DePIN;Storage
1104,REP,2021-11-30,242230047.3777212,3536212.0,4381026.25,12.0,1.502906121999708,1.0,False,0.5677562401649648,0.21032687204948947,11831963471.062998,0.02047251480873267,68.4998657822894,token,Prediction Market;DePIN;Storage
1104,REP,2021-12-31,199630668.67576653,2958147.0,3650769.3333333335,12.0,0.32877921381868225,1.0,False,0.5799079761798488,0.21397239285395464,28118340.785967417,7.099660331856889,67.48504001855436,token,Prediction Market;DePIN;Storage
1104,REP,2022-01-31,143770040.72409233,2043350.0,2784809.75,12.0,-0.2324402735220008,1.0,False,0.6704781411261185,0.24114344233783555,1250455.8577570464,114.9741031098642,70.35996805446563,token,Prediction Market;DePIN;Storage
1104,REP,2022-02-28,162670062.82547018,2109442.0,2747115.9166666665,12.0,-0.22381858596327942,1.0,False,0.6723961370534184,0.2417188411160255,1272484.5149050672,127.83657554968838,77.11521000599693,token,Prediction Market;DePIN;Storage
1104,REP,2022-03-31,176568325.24919277,2696677.0,2739722.9166666665,12.0,-0.26997412786892494,1.0,False,0.674021241290129,0.24220637238703868,1080503.6252951776,163.4129873474112,65.47626031934591,token,Prediction Market;DePIN;Storage
1104,REP,2022-04-30,128540298.72651169,2258777.0,2627241.1666666665,12.0,-0.34719942705256746,1.0,False,0.667700621406284,0.24031018642188517,798039.0338262761,161.07018990062764,56.907033640997625,token,Prediction Market;DePIN;Storage
1104,REP,2022-05-31,119419095.84324291,1610258.0,2477149.5833333335,12.0,-0.42073153502291116,1.0,False,0.8122020930331617,0.2836606279099485,630555.2593653727,189.38720131116375,74.16146719546987,token,Prediction Market;DePIN;Storage
1104,REP,2022-06-30,87898901.70478179,910048.0,2399113.5,12.0,-0.4547396513532993,1.0,False,0.8477229016029548,0.2943168704808864,556564.9481167786,157.93107705075744,96.58710497114635,token,Prediction Market;DePIN;Storage
1104,REP,2022-07-31,96180333.21340749,1383529.0,2343220.0,12.0,-0.48223202084341554,1.0,False,0.8318443419900021,0.28955330259700063,494288.1042249914,194.58354832190713,69.51811867579754,token,Prediction Market;DePIN;Storage
1104,REP,2022-08-31,86093266.54679652,1264922.0,2221468.9166666665,12.0,1.2375905870977961,2.0,False,0.8160232753127117,0.2848069825938135,1128522165.3309224,0.07628850295691883,68.06211493419872,token,Prediction Market;DePIN;Storage
1104,REP,2022-09-30,77830405.4478731,1096958.0,2112411.25,12.0,1.0537855484401186,2.0,False,0.836541841625147,0.29096255248754405,457737698.2160813,0.17003276276172516,70.95112615785938,token,Prediction Market;DePIN;Storage
1104,REP,2022-10-31,78060804.70455422,1288898.0,1929768.1666666667,12.0,0.5350855812839961,2.0,False,0.8366652478689327,0.2909995743606798,31385317.00115795,2.4871759205641983,60.56398931843653,token,Prediction Market;DePIN;Storage
1104,REP,2022-11-30,65752828.37529038,1053076.0,1722840.1666666667,12.0,-0.007896808263038624,2.0,False,0.8878513117280608,0.3063553935184182,1810569.9407426224,36.31609411803293,62.43882528449075,token,Prediction Market;DePIN;Storage
1104,REP,2022-12-31,46872437.8903917,991066.0,1558916.75,12.0,-0.2467386613511625,2.0,False,0.8928516830037809,0.3078555049011342,704480.366927668,66.53476816509252,47.29497116275979,token,Prediction Market;DePIN;Storage
1104,REP,2023-01-31,63913032.85800301,1281455.0,1495425.5,12.0,-0.35799159275431913,2.0,False,0.8517257765538536,0.2955177329661561,470629.23553454777,135.80336288588114,49.87536266041571,token,Prediction Market;DePIN;Storage
1104,REP,2023-02-28,98477116.36498444,1327141.0,1430233.75,12.0,-0.3643081580086084,2.0,False,0.8262017944724223,0.28786053834172665,437207.22494798736,225.24128318487837,74.20245201149271,token,Prediction Market;DePIN;Storage
1104,REP,2023-03-31,89062749.7377852,1467422.0,1327795.8333333333,12.0,-0.40518562532656777,2.0,False,0.8233759324063432,0.2870127797219029,356612.53241665557,249.74655022422743,60.69334502125851,token,Prediction Market;DePIN;Storage
1104,REP,2023-04-30,82353204.6831297,1539854.0,1267885.5833333333,12.0,-0.4387190207788404,2.0,False,0.8633121754618748,0.2989936526385624,311458.5936373365,264.4114060921435,53.48117723052296,token,Prediction Market;DePIN;Storage
1104,REP,2023-05-31,70823649.62752315,1540994.0,1262113.5833333333,12.0,-0.45673334749797423,2.0,False,0.8646025936384971,0.2993807780915491,293035.6579243459,241.68952723769866,45.95971796614598,token,Prediction Market;DePIN;Storage
1104,REP,2023-06-30,41321342.29385315,1500111.0,1311285.5,12.0,-0.4540847949470119,2.0,False,0.8655364196970111,0.2996609259091033,307140.87792532775,134.53546975892678,27.545523160521554,token,Prediction Market;DePIN;Storage
1104,REP,2023-07-31,17864863.56123922,1517124.0,1322418.4166666667,12.0,-0.45943800856832206,2.0,False,0.88526422963093,0.30557926888927894,307061.30991915875,58.18011903206748,11.775480159327266,token,Prediction Market;DePIN;Storage
1104,REP,2023-08-31,13182773.14727406,1388662.0,1332730.0833333333,12.0,0.44284962527793437,3.0,False,0.8960838981476924,0.3088251694443077,12170531.877369728,1.0831714899647504,9.493147466607468,token,Prediction Market;DePIN;Storage
1104,REP,2023-09-30,7017375.40590633,1357129.0,1354411.0,12.0,0.393244688042363,3.0,False,0.8814571174741377,0.30443713524224125,9700114.506915562,0.723432223496268,5.170750463593608,token,Prediction Market;DePIN;Storage
1104,REP,2023-10-31,7414676.74159217,1483448.0,1370623.5,12.0,0.18729709960959884,3.0,False,0.9080381114550791,0.31241143343652367,3366936.8169980515,2.202202519559921,4.998272094196878,token,Prediction Market;DePIN;Storage
1104,REP,2023-11-30,7159458.4777628,1638894.0,1419441.6666666667,12.0,-0.06747156168765567,3.0,False,0.9120612552807115,0.31361837658421343,1183830.733355102,6.0477045206219096,4.3684695152723725,token,Prediction Market;DePIN;Storage
1104,REP,2023-12-31,10375878.28395756,1839298.0,1490127.6666666667,12.0,-0.1844874727066077,3.0,False,1.0579359392793606,0.35738078178380817,846710.0679973164,12.25434617601647,5.641216531501453,token,Prediction Market;DePIN;Storage
1104,REP,2024-01-31,8784085.62428117,1877082.0,1539763.25,12.0,-0.2485094341422578,3.0,False,1.0603117345404593,0.35809352036213776,719609.902313028,12.206732558913734,4.679649383607733,token,Prediction Market;DePIN;Storage
1104,REP,2025-10-31,21206105.64010611,3002163.0,2463507.6666666665,12.0,0.08479979232765467,3.0,False,0.9754574239235125,0.33263722717705374,3693982.5493706875,5.740716247757807,7.063609017933441,token,Prediction Market;DePIN;Storage
