spec,var,coef,se,t,p,n,n_assets
token_pf_ln_s4,conv_std,0.006607532881547936,0.00573765106351083,1.1516093970177461,0.2497076183373399,1282,49
token_pf_ln_s4,size_std,0.0007479181226642714,0.0047567363236110626,0.15723346256377976,0.8750869167181832,1282,49
token_pf_ln_s4,mom_3m_std,-0.0018473261060664447,0.009045774962963191,-0.20421977261540258,0.8382158778322095,1282,49
token_pf_ln_s4,mom_12_2_std,0.004504405020622052,0.0048289705287016225,0.932787846570926,0.35111438290130037,1282,49
token_pf_ln_s4,r_1m_std,-0.014571389657643494,0.00788421772821399,-1.8481718998575078,0.06481976036205195,1282,49
token_pf_ln_s4,beta36_std,-0.004105655659592239,0.006156813950676545,-0.6668474461764573,0.5049958832512491,1282,49
token_pf_ln_s4,pf_ln_std,-0.011941230143363984,0.0037206168438413565,-3.2094759134174224,0.0013644655088458357,1282,49
token_pf_ln_s4,conv_x_fee,-0.002419859791490948,0.005384307479196307,-0.4494282321061186,0.6532027302191188,1282,49
token_pf_ln_s5_cheap,conv_std,0.008496206112789648,0.009016268403082454,0.9423195642539869,0.34641538689212537,651,33
token_pf_ln_s5_cheap,size_std,0.001196919024161771,0.008389912536703212,0.14266168078935615,0.886606168954835,651,33
token_pf_ln_s5_cheap,mom_3m_std,-0.0030509160372473596,0.010483447871682025,-0.29102219752420566,0.7711367919282373,651,33
token_pf_ln_s5_cheap,mom_12_2_std,-0.0001564578878119613,0.0054324154065351835,-0.0288007959817916,0.9770332217063613,651,33
token_pf_ln_s5_cheap,r_1m_std,-0.017581965945546393,0.010322738626014499,-1.7032268841175344,0.08905314518356655,651,33
token_pf_ln_s5_cheap,beta36_std,0.0001115404447643144,0.011395734578957038,0.00978791178326328,0.9921938152362673,651,33
token_pf_ln_s5_expensive,conv_std,0.0022851840311020684,0.006173608604320772,0.3701536941461949,0.7114057155983213,631,38
token_pf_ln_s5_expensive,size_std,-0.004684957820213482,0.005889159857002693,-0.7955222704037629,0.42664149183603417,631,38
token_pf_ln_s5_expensive,mom_3m_std,4.4296072955663934e-05,0.013994812169663457,0.0031651780973298445,0.9974756668407463,631,38
token_pf_ln_s5_expensive,mom_12_2_std,0.012011292840872425,0.006943288844400151,1.7299140378640134,0.08418789809212623,631,38
token_pf_ln_s5_expensive,r_1m_std,-0.014673152319056292,0.011595989543183683,-1.2653643972696937,0.20625864862387,631,38
token_pf_ln_s5_expensive,beta36_std,-0.00958254531491149,0.010469172530403262,-0.9153106692131647,0.3604162896799379,631,38
token_pf_ln_s5_diff,conv_std,0.010545718729303261,0.008024380098328884,1.3142097707334996,0.18902306013921244,1282,49
token_pf_ln_s5_diff,high_fee,-0.019381198903584227,0.006660226393490555,-2.9099910060905216,0.0036800915837176262,1282,49
token_pf_ln_s5_diff,conv_x_highfee,-0.006782279281494157,0.00763140577754539,-0.8887326240009805,0.37432227240734894,1282,49
token_pf_ln_s5_diff,size_std,0.00027389675265785047,0.004584110135052213,0.05974916496083068,0.9523652151702584,1282,49
token_pf_ln_s5_diff,mom_3m_std,-0.0016531111029873444,0.009039865845177911,-0.18286898625482975,0.8549312513529586,1282,49
token_pf_ln_s5_diff,mom_12_2_std,0.004009441135016308,0.004735980910172904,0.8465914899285202,0.39738915951920273,1282,49
token_pf_ln_s5_diff,r_1m_std,-0.014607221121067982,0.007869931078874369,-1.8560799293756005,0.06368353949983674,1282,49
token_pf_ln_s5_diff,beta36_std,-0.003445531066258098,0.006080416414786244,-0.566660378371343,0.571049346478067,1282,49
token_pf_ln_s4_TVLGL_matched,conv_std,0.011323347366436476,0.006993321403161837,1.6191658746467648,0.10567045919574403,1282,49
token_pf_ln_s4_TVLGL_matched,size_std,0.0006474596085570084,0.004823897343845355,0.13421919298989227,0.893251423441749,1282,49
token_pf_ln_s4_TVLGL_matched,mom_3m_std,-0.0022404751545456415,0.008831694878654612,-0.2536857517531162,0.7997811573399902,1282,49
token_pf_ln_s4_TVLGL_matched,mom_12_2_std,0.00398227063676142,0.004819310324405704,0.8263154619022165,0.4087869972924585,1282,49
token_pf_ln_s4_TVLGL_matched,r_1m_std,-0.014801598077205063,0.007975616730005583,-1.8558562401223486,0.06371545115314636,1282,49
token_pf_ln_s4_TVLGL_matched,beta36_std,-0.0047252378120417144,0.0066001756369677535,-0.7159260710541604,0.47417422739998827,1282,49
token_pf_ln_s4_TVLGL_matched,val_std,-0.0016217914057437106,0.004621097921075192,-0.3509536983294152,0.7256837771767763,1282,49
token_pf_ln_s4_TVLGL_matched,conv_x_val,0.004572925566476018,0.006567616961657194,0.6962838413344589,0.4863839362774065,1282,49
token_prev_gl_ln_s4,conv_std,-0.0009042232749448373,0.008232347719184997,-0.10983783797635256,0.9125637567084639,915,33
token_prev_gl_ln_s4,size_std,0.0014800424551445885,0.006527638731894809,0.22673473761850932,0.8206842106394536,915,33
token_prev_gl_ln_s4,mom_3m_std,-0.0026189343447605993,0.011025862110385783,-0.23752649167394363,0.8123052740236325,915,33
token_prev_gl_ln_s4,mom_12_2_std,-0.00018191865714425756,0.0033501237989921407,-0.054302070030661675,0.9567071857684133,915,33
token_prev_gl_ln_s4,r_1m_std,-0.017358001733065967,0.008197534313273235,-2.1174661879682946,0.034508430966523784,915,33
token_prev_gl_ln_s4,beta36_std,0.00015915552955995377,0.007519637733315658,0.021165318756622708,0.9831187179466574,915,33
token_prev_gl_ln_s4,prev_gl_ln_std,-0.0013662979115280954,0.005559803041300209,-0.2457457398002672,0.8059380398495883,915,33
token_prev_gl_ln_s4,conv_x_fee,-0.003490146740886459,0.011221096244615652,-0.31103438245271053,0.7558502979554822,915,33
token_prev_gl_ln_s5_cheap,conv_std,0.00502205123019464,0.013641339146155985,0.36814942993407007,0.7129490706844672,474,25
token_prev_gl_ln_s5_cheap,size_std,-0.009213823533031464,0.010265331180128073,-0.8975670995269838,0.36993554529653405,474,25
token_prev_gl_ln_s5_cheap,mom_3m_std,0.0030480911663910105,0.009821960621752099,0.31033428902581717,0.7564621742630031,474,25
token_prev_gl_ln_s5_cheap,mom_12_2_std,0.005896586098446586,0.00795780228393077,0.7409817293844548,0.4591225684792073,474,25
token_prev_gl_ln_s5_cheap,r_1m_std,-0.027224341344245062,0.01144464941194544,-2.3787833392108495,0.01782032623027452,474,25
token_prev_gl_ln_s5_cheap,beta36_std,0.004849382486082044,0.012016228723634009,0.40356942245482397,0.6867367322985185,474,25
token_prev_gl_ln_s5_expensive,conv_std,-0.00956730772496261,0.014671912783898353,-0.6520831922789387,0.5147386401866081,441,24
token_prev_gl_ln_s5_expensive,size_std,0.014925392330530524,0.00816943072568532,1.8269807079217824,0.06848076459890451,441,24
token_prev_gl_ln_s5_expensive,mom_3m_std,-0.01112388449486176,0.01626882726117592,-0.6837545396654312,0.4945436372118097,441,24
token_prev_gl_ln_s5_expensive,mom_12_2_std,-0.005890152069819139,0.009546643838416068,-0.6169866781996137,0.5376101094033745,441,24
token_prev_gl_ln_s5_expensive,r_1m_std,-0.007124229301041952,0.012147547598322525,-0.5864746973311509,0.5579020498385912,441,24
token_prev_gl_ln_s5_expensive,beta36_std,-0.0022058854886630582,0.0074632587349438406,-0.29556599429346425,0.7677217186362495,441,24
token_prev_gl_ln_s5_diff,conv_std,0.006992061527271663,0.012225154168467473,0.5719405604966843,0.5675125780555654,915,33
token_prev_gl_ln_s5_diff,high_fee,-0.002761616925458529,0.008267814553955487,-0.33402018241172526,0.738446237202341,915,33
token_prev_gl_ln_s5_diff,conv_x_highfee,-0.018444912970142252,0.02118789438884814,-0.8705401599438968,0.3842496279178158,915,33
token_prev_gl_ln_s5_diff,size_std,0.0016475926966993606,0.006424294767073576,0.2564628113180242,0.7976551881862586,915,33
token_prev_gl_ln_s5_diff,mom_3m_std,-0.002953371463109594,0.011107818730166455,-0.26588221637870896,0.7903940204350735,915,33
token_prev_gl_ln_s5_diff,mom_12_2_std,8.70795985141488e-05,0.0033468705919078054,0.026018214963163876,0.9792488811316913,915,33
token_prev_gl_ln_s5_diff,r_1m_std,-0.017493031838912442,0.008030437272255978,-2.17834113459156,0.029653196166713025,915,33
token_prev_gl_ln_s5_diff,beta36_std,-0.00017658919525480283,0.008188101367699695,-0.021566561932343603,0.9827987389394404,915,33
token_prev_gl_ln_s4_TVLGL_matched,conv_std,-0.006467033007674884,0.009209096364195484,-0.7022440369739632,0.4827181141843442,915,33
token_prev_gl_ln_s4_TVLGL_matched,size_std,-0.00012744117506745877,0.007185025894379984,-0.017737051604384792,0.9858527604769212,915,33
token_prev_gl_ln_s4_TVLGL_matched,mom_3m_std,-0.002294762538679062,0.011163617878733748,-0.20555724529504849,0.8371857080181297,915,33
token_prev_gl_ln_s4_TVLGL_matched,mom_12_2_std,0.0003031633675195553,0.003956629030137435,0.07662163048655203,0.9389424762982033,915,33
token_prev_gl_ln_s4_TVLGL_matched,r_1m_std,-0.017150510493162387,0.008550361904605742,-2.005822757505046,0.04518978519755401,915,33
