portfolio,period,alpha,alpha_t,b_cmkt,b_csmb,b_cmom,n,r2
q5_ew,full,0.017082144565023515,2.1783226316429216,0.07016831870119482,-0.32238152261354514,-0.015204637900331344,50,0.15475934664981805
q5_ew,post2023,0.014768842301971844,1.7909200426121226,0.10022181389071677,-0.31653736615224337,-0.09416925896987327,40,0.20123524748163824
q5_ew_net25bps,full,0.016202574100657688,2.062747325803079,0.07107006935852192,-0.3233622818008991,-0.015749553934435948,50,0.15595181105835276
q5_ew_net50bps,full,0.015323003636291861,1.9474018230101977,0.07197182001584909,-0.3243430409882531,-0.016294469968540528,50,0.15714296199223876
q5_vw,full,0.03107144248788031,1.8319566333938389,-0.05759873957852959,-0.3477791110324764,0.08591084933668917,50,0.08314821968962682
q5_vw,post2023,0.021663130034582756,1.3835466498500113,-0.032150747554049966,-0.30862751329350036,0.01690727527579877,40,0.058187513358278764
q5_vw_net25bps,full,0.029510400434611027,1.7392671319309383,-0.05590552006908131,-0.3481801521572786,0.08551098666917381,50,0.08282667235876506
q5_vw_net50bps,full,0.02794935838134172,1.6465061073033076,-0.05421230055963301,-0.34858119328208087,0.08511112400165845,50,0.08250640335937831
d10_ew,full,0.0003413542475983538,0.021619398648842058,0.019198038432235554,-0.4653015073462846,-0.2829440279765733,46,0.2559926245773988
d10_ew,post2023,0.011614592622387157,0.7080307067408792,-0.007912184471237926,-0.41052893644882205,-0.2778405756023693,40,0.23376256983741117
d10_ew_net25bps,full,-0.0005889283909355724,-0.03732108873049391,0.019732360727033264,-0.4656852015095549,-0.2825496168318261,46,0.25611962611713845
d10_ew_net50bps,full,-0.0015192110294694977,-0.0963292628505138,0.02026668302183103,-0.46606889567282506,-0.2821552056870788,46,0.2562390500387324
t3_ew,full,0.003629839830022878,0.3745334831132803,0.02834940907421804,-0.26226854403015953,-0.011503701979177168,50,0.0913302017927391
t3_ew,post2023,-0.00678272569693902,-0.8790655210003628,0.04972301891943826,-0.30714676654634243,-0.04506757661140052,40,0.1418715292241033
t3_ew_net25bps,full,0.0028159101032671713,0.29064112846239026,0.028979870453904363,-0.26275989064918226,-0.011433922511375027,50,0.0919457316027753
t3_ew_net50bps,full,0.00200198037651147,0.2066905829773993,0.029610331833590697,-0.26325123726820493,-0.011364143043572878,50,0.09256345643088781
t3_vw,full,0.01880862063379769,0.9871903789909571,-0.24717228622757148,-0.30642246893211794,0.11184067120837358,50,0.14943486298469433
t3_vw,post2023,-0.002643624762729945,-0.12315368515151462,-0.1522303065696557,-0.466811445660028,0.08889908999673081,40,0.1466150048516065
t3_vw_net25bps,full,0.017331878022474212,0.9090353431022726,-0.24698382876588773,-0.3067981756261735,0.11182731969400288,50,0.14965449900693495
t3_vw_net50bps,full,0.015855135411150748,0.8309592735985205,-0.24679537130420395,-0.30717388232022913,0.11181396817963217,50,0.14986738029841384
q5_ew_secneutral,full,0.004011216527360984,0.3949781800637363,-0.034608187178328496,-0.2989123059223599,0.035630272046835026,50,0.1308630031628698
q5_ew_secneutral,post2023,-0.007450307263777718,-0.8948466893791558,-0.00022661951740876596,-0.37120535913353714,-0.00714606635078411,40,0.18399997848001004
q5_ew_secneutral_net25bps,full,0.0031176988937802914,0.3070952336935025,-0.03389561638939475,-0.2990500619083805,0.03511816835328128,50,0.13042574258916506
q5_ew_secneutral_net50bps,full,0.0022241812601996023,0.21913950620626665,-0.03318304560046105,-0.2991878178944012,0.034606064659727535,50,0.1299871135690711
t3_ew_DEX,full,0.009362548585772072,0.8875398024559155,0.024284439040607876,0.11651413522424844,0.15320574865590972,51,0.05369614785487031
t3_ew_DEX,post2023,-0.007415342357520459,-0.7162581505661877,0.05026923467819616,-0.04717961267726713,0.20649980489981717,40,0.15481380534698452
t3_ew_DEX_net25bps,full,0.008483729523541927,0.8063690153076212,0.025252806714801943,0.1160504026677446,0.1536682788748597,51,0.0541507287652182
t3_ew_DEX_net50bps,full,0.007604910461311788,0.7247370874353687,0.02622117438899605,0.11558667011124066,0.1541308090938097,51,0.05461249586254657
t3_ew_Other,full,-0.03425921108876498,-0.7700956335173256,-0.15192687580889086,0.09419297969678375,0.16576555704105816,36,0.011890801376835514
t3_ew_Other,post2023,-0.03425921108876498,-0.7700956335173256,-0.15192687580889086,0.09419297969678375,0.16576555704105816,36,0.011890801376835514
t3_ew_Other_net25bps,full,-0.034968116296774314,-0.7862112714173027,-0.15240831614754907,0.09382030858445839,0.16465044803370535,36,0.011901118982573067
t3_ew_Other_net50bps,full,-0.03567702150478365,-0.802328218047649,-0.15288975648620734,0.09344763747213297,0.1635353390263525,36,0.01191237365775899
t3_ew_Lending,full,-0.0035048300518846632,-0.16411720419149012,0.13703629040316698,-0.34181119700827556,0.0271444571305829,34,0.075323716377526
t3_ew_Lending,post2023,-0.0035048300518846632,-0.16411720419149012,0.13703629040316698,-0.34181119700827556,0.0271444571305829,34,0.075323716377526
