spec,alpha,alpha_t,n,r2,b_cmkt,t_cmkt,b_csmb,t_csmb,b_cmom,t_cmom,b_rev_ls,t_rev_ls,b_mom3_ls,t_mom3_ls,b_high52_ls,t_high52_ls,b_size_ls,t_size_ls
ltw_only,0.017082144565023515,2.1783226316429216,50,0.15475934664981805,0.07016831870119482,1.5224460661243662,-0.32238152261354514,-2.9687700244575157,-0.015204637900331344,-0.217788657337183,,,,,,,,
ltw+rev_ls,0.02532022766916983,3.180043472693605,50,0.2253989471364195,0.05843904946974866,1.1040364648398076,-0.3235226349360593,-3.06214280623845,-0.02997338088293683,-0.42093370994237056,0.17614239132632525,2.15084597410131,,,,,,
ltw+mom3_ls,0.01529615455054518,1.852669432589635,50,0.17633904837769032,0.07252021815464267,1.4016262709865177,-0.38437070969665593,-3.4394681659646804,-0.01624158645612368,-0.2242270176088036,,,0.13260079215770942,1.0766333301523667,,,,
ltw+high52_ls,0.020281783030428865,2.6965061209696812,47,0.16499789391612885,0.10791669409223828,2.3134758747058,-0.3081135981137808,-2.1479522262277833,0.005403401324493771,0.07898543526522438,,,,,0.029564042616330576,0.36196396232354217,,
ltw+size_ls,0.01697615010310452,2.1484306859712716,50,0.15638112947832639,0.06661769800259905,1.4751904338966275,-0.3278230117101726,-3.0265182902936627,-0.017034095552779745,-0.23640340949614594,,,,,,,-0.030469291145993744,-0.26477418273557646
ltw+all4,0.023414606394019086,2.5967541114466637,47,0.33903696312348797,0.10932431609928044,2.090993699398627,-0.4581448579816438,-3.8610594799484343,-0.011980193552493716,-0.18305681944552812,0.3125306631943775,2.991824568951647,0.30382054274082515,2.2681663914330277,-0.2148958889878323,-1.9273546678919034,0.029561664641870537,0.2376866127626253
all4_only,0.03461112094732455,3.991777215621554,47,0.11569529967815917,,,,,,,0.2804307731579945,1.983664540072478,0.06769934371105743,0.6599669209765002,-0.15743278107612624,-1.2602228886040128,0.0003003898250186453,0.0021410386540821158
