portfolio,period,alpha,alpha_t,b_cmkt,b_csmb,b_cmom,n,r2
sma_coin_ew,full,-0.033753092200105264,-1.5388739941033232,0.09941655674287517,-0.6719367107480914,0.21224467061655064,20,0.25817095543758606
sma_coin_ew,post2023,-0.033753092200105264,-1.5388739941033232,0.09941655674287517,-0.6719367107480914,0.21224467061655064,20,0.25817095543758606
star_coin_ew,full,-0.01642406035434013,-0.33352860656629635,0.3583711739167515,-0.9925177797959432,-0.36994196744013946,20,0.06885393749838198
star_coin_ew,post2023,-0.01642406035434013,-0.33352860656629635,0.3583711739167515,-0.9925177797959432,-0.36994196744013946,20,0.06885393749838198
avoid_coin_ew,full,0.017329031845765126,0.3338338502616494,0.25895461717387636,-0.32058106904785205,-0.5821866380566901,20,0.03979404055006597
avoid_coin_ew,post2023,0.017329031845765126,0.3338338502616494,0.25895461717387636,-0.32058106904785205,-0.5821866380566901,20,0.03979404055006597
convonly_coin_ew,full,0.006397967418878934,0.6304570567059252,0.07941451765156483,0.006961554124110134,0.18869764276315226,40,0.12308620806934212
convonly_coin_ew,post2023,0.006397967418878934,0.6304570567059252,0.07941451765156483,0.006961554124110134,0.18869764276315226,40,0.12308620806934212
valonly_coin_ew,full,-0.02523563057840712,-1.7626642001148707,-0.10266945205631259,-0.4593644110890417,-0.029867418820948115,40,0.14657528262317254
valonly_coin_ew,post2023,-0.02523563057840712,-1.7626642001148707,-0.10266945205631259,-0.4593644110890417,-0.029867418820948115,40,0.14657528262317254
sma_coin_vw,full,0.05347972105528496,1.3856911953268392,0.12497667503887763,-0.045160319080423894,-0.26222445212925716,20,0.019757071754262667
sma_coin_vw,post2023,0.05347972105528496,1.3856911953268392,0.12497667503887763,-0.045160319080423894,-0.26222445212925716,20,0.019757071754262667
star_coin_vw,full,0.02207341699884227,0.5017441485330878,0.20597348198471235,-0.3110099711029162,-0.38936366873305517,20,0.022293753864580657
star_coin_vw,post2023,0.02207341699884227,0.5017441485330878,0.20597348198471235,-0.3110099711029162,-0.38936366873305517,20,0.022293753864580657
avoid_coin_vw,full,-0.03140630405644268,-1.9374144406706075,0.08099680694583469,-0.26584965202249256,-0.12713921660379804,20,0.030326891199997874
avoid_coin_vw,post2023,-0.03140630405644268,-1.9374144406706075,0.08099680694583469,-0.26584965202249256,-0.12713921660379804,20,0.030326891199997874
sma_token_ew,full,0.011947504422568431,0.8428113268318572,-0.21710760025984388,-0.22420168244501668,0.019283067648297396,49,0.15384272438146074
sma_token_ew,post2023,-0.007881418055073613,-0.7287069869684093,-0.12511561132980265,-0.4486314819802709,0.05451584498748832,40,0.24238269871913043
star_token_ew,full,-0.010084030641524083,-0.35945683168785986,-0.054715987016006856,-0.15786937652579028,-0.17529750121267695,49,0.01344041885589875
star_token_ew,post2023,-0.03305105173609056,-1.1048933069640194,0.1258827528120559,-0.5442060821481859,-0.03427333400301222,40,0.05782134382908899
avoid_token_ew,full,-0.02203153506409251,-0.7874748323897056,0.16239161324383702,0.06633230591922645,-0.19458056886097436,49,0.044223142929558645
avoid_token_ew,post2023,-0.025169633681016945,-0.8203312847167828,0.25099836414185855,-0.09557460016791498,-0.08878917899050062,40,0.04827986656325478
convonly_token_ew,full,0.0033535663750196565,0.36008942918775966,-0.06684326488618135,-0.14751277222274978,-0.13395317522609845,55,0.08362894445124136
convonly_token_ew,pre2023,0.03424676321237724,1.4072566460883233,-0.3119591853176607,-0.6200428574479759,-0.47239028024481716,15,0.30651712785566443
convonly_token_ew,post2023,-0.01139142540823634,-1.81779983184085,-0.005881890813346745,-0.19720613229598444,-0.028950036950646414,40,0.10540225291767469
valonly_token_ew,full,0.0029680898056800575,0.29468084458096794,-0.18703585397989506,-0.11272010753679465,0.1350301097918569,55,0.19927864841940646
valonly_token_ew,pre2023,-0.03067786017222823,-1.203140197852001,-0.16835933650081503,0.6386830818511563,0.23303261808280676,15,0.330164890074656
valonly_token_ew,post2023,-0.0015254403529762284,-0.17759551438734564,-0.11738818559850901,-0.28759584762723756,0.1069790368999647,40,0.2623147936210435
sma_token_vw,full,0.0275904623147425,1.1303030735994366,-0.45600198273439546,-0.21367078145130008,-0.032239216868742024,49,0.2382832456350884
sma_token_vw,post2023,-0.0044589219213219105,-0.2397727971392983,-0.23344173699128734,-0.5906093530612577,-0.00036993876171847323,40,0.2379267205047193
star_token_vw,full,2.8415111709298436e-05,0.0009097438510642898,-0.16208150308070007,-0.09579452781110899,-0.18544645682120744,49,0.020684185710845515
star_token_vw,post2023,-0.02582600888917849,-0.7582921194184802,0.08883038992119667,-0.5316333138697504,-0.06759183219087282,40,0.039814133857944634
avoid_token_vw,full,-0.0275620472030332,-0.9026603632533697,0.29392047965369544,0.11787625364019104,-0.1532072399524654,49,0.0704519640054615
avoid_token_vw,post2023,-0.02136708696785658,-0.6340474480985334,0.32227212691248397,0.05897603919150732,-0.06722189342915437,40,0.06492522788933064
sma_pooled_ew,full,0.009726894164468538,0.6687084991911211,-0.1948630495002917,-0.23986859624888243,0.04204538317756252,49,0.14977314828839328
sma_pooled_ew,post2023,-0.01191849965497803,-1.1105062915242319,-0.09045633093884234,-0.4815807508830661,0.07744260618439493,40,0.2761277675640308
star_pooled_ew,full,-0.008772424765522358,-0.3024859819724349,-0.04560716656166135,-0.17125076378987436,-0.17459198534225323,49,0.013008657395882639
star_pooled_ew,post2023,-0.03197191635472311,-1.0143088750376228,0.13856157781525533,-0.5614230743038062,-0.033610126490601744,40,0.05860004291480303
avoid_pooled_ew,full,-0.0184993189299909,-0.630295559431585,0.14925588293863043,0.06861783245900821,-0.21663736851981572,49,0.04417521602103325
avoid_pooled_ew,post2023,-0.020053416699745072,-0.6086104958968432,0.22901790875409772,-0.07984232342073996,-0.11105273267499668,40,0.041189243130961395
convonly_pooled_ew,full,0.005373361655278434,0.631118778546033,-0.0506095075876593,-0.11844624087005322,-0.10491213816559711,55,0.05745886335838157
convonly_pooled_ew,pre2023,0.03424676321237724,1.4072566460883233,-0.3119591853176607,-0.6200428574479759,-0.47239028024481716,15,0.30651712785566443
convonly_pooled_ew,post2023,-0.008192409496836875,-1.6731622381603368,0.006057825574478211,-0.15708517391691865,0.011074637990374309,40,0.10306981778351043
valonly_pooled_ew,full,-0.0001965751340267098,-0.02045101291004531,-0.19559072249752837,-0.1375230281060384,0.11415335350542263,55,0.20105172667510518
valonly_pooled_ew,pre2023,-0.03067786017222823,-1.203140197852001,-0.16835933650081503,0.6386830818511563,0.23303261808280676,15,0.330164890074656
valonly_pooled_ew,post2023,-0.006765116007490778,-0.8526577259904534,-0.11719885191585398,-0.33005926023813714,0.07730295578251584,40,0.2937091069332187
sma_pooled_vw,full,0.043175377862376386,1.475127722528293,-0.3010758498405149,0.15678532693814984,0.014964718515972735,49,0.08605826432337738
sma_pooled_vw,post2023,0.0151799620053118,0.497655160310431,-0.07289859048859665,-0.1793052579704113,0.03859739316361996,40,0.016748680994251974
star_pooled_vw,full,0.020698034070803648,0.5658078462725442,-0.09724461304286328,0.1405285255898063,-0.18699476064540813,49,0.01838151445252656
star_pooled_vw,post2023,0.0022949565718806495,0.05258865116629545,0.12988129912635255,-0.23149742763147105,-0.07080623952963255,40,0.01306264058792872
avoid_pooled_vw,full,-0.022477343791572752,-0.8961568251151641,0.20383123679765158,-0.01625680134834351,-0.20195947916138093,49,0.07189529850883358
avoid_pooled_vw,post2023,-0.012885005433431148,-0.5200235741721615,0.2027798896149492,-0.05219216966105973,-0.10940363269325251,40,0.0559043750611955
sma_coin_ew_net25bps,full,-0.03469953503164372,-1.5783942427594662,0.09928889354113386,-0.6752770110284246,0.2115786590170189,20,0.25869216713823484
sma_coin_ew_net50bps,full,-0.03564597786318216,-1.6176812354032737,0.09916123033939259,-0.6786173113087579,0.21091264741748714,20,0.2592083494320644
