spec,var,coef,se,t,p,n,r2_within
raw7_s6_1,conv_std,0.007139220811494317,0.0030986730690360765,2.3039606478121164,0.021303746682675095,2652,4.891523283312438e-05
coarse_s6_1,conv_std,0.006312327196973745,0.0032378328306727077,1.9495531508531483,0.051337271055500455,2652,5.464600220250748e-05
raw7_s6_2,conv_std,0.006876522146276032,0.0035641373434095037,1.9293650843706978,0.05379761541780903,2592,0.006086074454373147
raw7_s6_2,size_std,-0.0029220977844922314,0.006898232920013236,-0.42360091611499606,0.6718930095696194,2592,0.006086074454373147
raw7_s6_2,mom_3m_std,-0.0027673410308244237,0.005005772637963436,-0.5528299487350063,0.5804288538032152,2592,0.006086074454373147
raw7_s6_2,mom_12_2_std,-0.001864217867705946,0.004608250670650975,-0.40453916267593165,0.6858505903951286,2592,0.006086074454373147
raw7_s6_2,r_1m_std,-0.0150758329651811,0.006472237414712627,-2.329307780167468,0.01992135903740877,2592,0.006086074454373147
raw7_s6_2,beta36_std,0.006320492380657026,0.007377934558090998,0.8566750397271646,0.3917058917546803,2592,0.006086074454373147
coarse_s6_2,conv_std,0.0054360807981211675,0.0036406524258172706,1.493161159678914,0.13552004308054566,2592,0.005914197464893967
coarse_s6_2,size_std,-0.004068672723479338,0.007410752261560541,-0.5490229034619712,0.5830383158394543,2592,0.005914197464893967
coarse_s6_2,mom_3m_std,-0.002485065666826988,0.005047411957540704,-0.4923445297771591,0.6225186438493922,2592,0.005914197464893967
coarse_s6_2,mom_12_2_std,-0.0007833324652873599,0.0046298804598934986,-0.1691906458650509,0.865660250328441,2592,0.005914197464893967
coarse_s6_2,r_1m_std,-0.014648234376007607,0.00649279659752651,-2.256074736976665,0.024151239609008668,2592,0.005914197464893967
coarse_s6_2,beta36_std,0.007058777754774291,0.007339889122492042,0.9617008699959342,0.33629204244459876,2592,0.005914197464893967
raw7_s6_3,conv_std,0.0076843313650069136,0.003831673636649542,2.0054764820017863,0.04501882346693353,2592,0.0059005079224248025
raw7_s6_3,size_std,-0.0009353705630578938,0.005897792364642389,-0.15859672657611604,0.8739993109671005,2592,0.0059005079224248025
raw7_s6_3,mom_3m_std,-0.003240740358446587,0.005235356913070086,-0.6190103964747977,0.5359654402182907,2592,0.0059005079224248025
raw7_s6_3,mom_12_2_std,-0.002500505291367412,0.004720777955209916,-0.5296807676810598,0.596379925966275,2592,0.0059005079224248025
raw7_s6_3,r_1m_std,-0.015553233528760282,0.006384932058962973,-2.4359278039501024,0.014922482751932309,2592,0.0059005079224248025
raw7_s6_3,beta36_std,0.006658832937685199,0.007541614722645077,0.8829452554359263,0.37735003580200077,2592,0.0059005079224248025
raw7_s6_3,val_std,0.005258477466765206,0.0056822576639126935,0.9254204539440612,0.3548358186127991,2592,0.0059005079224248025
coarse_s6_3,conv_std,0.006226515125651418,0.0038854545809530543,1.6025190864859191,0.10916609790658294,2592,0.005774950352808617
coarse_s6_3,size_std,-0.0023161148896731886,0.006318401594041461,-0.36656658415909965,0.7139730872852379,2592,0.005774950352808617
coarse_s6_3,mom_3m_std,-0.0028991053399988025,0.005279944876576938,-0.5490787134653445,0.5830000414748109,2592,0.005774950352808617
coarse_s6_3,mom_12_2_std,-0.0012810894112989444,0.004638354326690019,-0.27619481416658914,0.7824210703451056,2592,0.005774950352808617
coarse_s6_3,r_1m_std,-0.015073006055487092,0.006349950237866947,-2.3737203428149014,0.017684382305864776,2592,0.005774950352808617
coarse_s6_3,beta36_std,0.007667019018186253,0.007746441804056368,0.9897471913067847,0.3223926484610895,2592,0.005774950352808617
coarse_s6_3,val_std,0.004706129977977335,0.005597455154781697,0.8407624264675106,0.4005607436859673,2592,0.005774950352808617
raw7_s6_4,conv_std,0.007583475586771699,0.003919139316114589,1.9349849482487678,0.053103916150389674,2592,0.006046022910513926
raw7_s6_4,size_std,-0.0010171208785139593,0.005962629298013578,-0.17058261174358239,0.8645656653414853,2592,0.006046022910513926
raw7_s6_4,mom_3m_std,-0.0032871352307719025,0.005217483157847537,-0.6300231608467719,0.528736550965077,2592,0.006046022910513926
raw7_s6_4,mom_12_2_std,-0.002371417377779693,0.004672115673817135,-0.5075682074973621,0.6118006090078931,2592,0.006046022910513926
raw7_s6_4,r_1m_std,-0.015580499253907676,0.0063634567007182985,-2.4484332944622644,0.014415625533219067,2592,0.006046022910513926
raw7_s6_4,beta36_std,0.0068568607933098946,0.0076214966673264625,0.8996737901500922,0.36837983627375204,2592,0.006046022910513926
raw7_s6_4,val_std,0.0051716729996368225,0.0056374545010553605,0.9173773373547687,0.3590327312132464,2592,0.006046022910513926
raw7_s6_4,conv_x_val,0.0032499681255581934,0.00426208885749962,0.7625294155562976,0.4458154606226783,2592,0.006046022910513926
coarse_s6_4,conv_std,0.006044621623388557,0.003980911873342401,1.5184012647618472,0.12903866272861952,2592,0.005915829600449007
coarse_s6_4,size_std,-0.002326404398127367,0.006338510670438251,-0.3670269751185126,0.7136297012890864,2592,0.005915829600449007
coarse_s6_4,mom_3m_std,-0.002956705625758947,0.005256449434896723,-0.562491024098863,0.5738315297214869,2592,0.005915829600449007
coarse_s6_4,mom_12_2_std,-0.001173515218566629,0.004601346583559252,-0.25503734553698554,0.7987150584308882,2592,0.005915829600449007
coarse_s6_4,r_1m_std,-0.0151142242590716,0.006325704673776325,-2.3893344755294583,0.016952021477556478,2592,0.005915829600449007
coarse_s6_4,beta36_std,0.007822778651353147,0.007805175662013288,1.0022552970108707,0.31631649561897723,2592,0.005915829600449007
coarse_s6_4,val_std,0.004609130499310069,0.005491230274625346,0.8393620862356824,0.40134573870496726,2592,0.005915829600449007
coarse_s6_4,conv_x_val,0.003466043053995615,0.004448992125917165,0.779062528298156,0.4360160041995995,2592,0.005915829600449007
