spec,var,coef,se,t,p,n,n_assets
coin_full_single_ma_dist,ma_dist_std,0.011899280119024162,0.009009440859566108,1.32075678219139,0.1870635566612493,686,23
coin_full_single_vol12,vol12_std,-0.01204233335506033,0.008378998451159254,-1.4372043896719238,0.15115796208649446,686,23
coin_full_single_ivol,ivol_std,-0.014561495791095235,0.00869968163662717,-1.6737963984554112,0.09466856897262144,686,23
coin_full_single_amihud,amihud_std,-0.022337749042078095,0.008422692821130942,-2.652091144299708,0.008201538743611847,686,23
coin_full_single_skew36,skew36_std,-0.009943877391211503,0.008643192364346745,-1.1504866456785223,0.2504127478711635,644,22
coin_full_joint_completed,conv_std,0.0013545758931165744,0.007242402238843317,0.1870340597559676,0.8516999022412617,644,22
coin_full_joint_completed,raw_val_std,0.017297749900986873,0.012354954183275884,1.4000658880954604,0.16203291174723766,644,22
coin_full_joint_completed,supply_g12_std,0.011058776610601362,0.012628082296319879,0.8757288993772356,0.38154310351265686,644,22
coin_full_joint_completed,high52_std,-0.013244463693401737,0.02314250267304615,-0.5723004067674771,0.5673421570832069,644,22
coin_full_joint_completed,r_1m_std,-0.009045382225596414,0.011277415505530053,-0.8020793612828111,0.42283841091123775,644,22
coin_full_joint_completed,mom_3m_std,-0.006691733078427297,0.010069650516524493,-0.6645447195457312,0.506608148283247,644,22
coin_full_joint_completed,mom_12_2_std,-0.0010588655690867272,0.007795774521905,-0.1358255765493817,0.8920067081837595,644,22
coin_full_joint_completed,ma_dist_std,0.01638447181551002,0.024915766302821524,0.6575945373855349,0.5110618571535088,644,22
coin_full_joint_completed,vol12_std,-0.0026382672556942333,0.006841754529812977,-0.3856126735032617,0.6999261633678415,644,22
coin_full_joint_completed,ivol_std,-0.010215747403316813,0.013355439037053343,-0.7649128849283227,0.4446372360873796,644,22
coin_full_joint_completed,amihud_std,-0.02531770763294458,0.006406255822944622,-3.9520288188096977,8.713519885072962e-05,644,22
coin_full_joint_completed,skew36_std,-0.005674841589309403,0.012834679558344157,-0.44214906679302657,0.6585475918608605,644,22
coin_full_joint_completed_int,conv_std,-0.009404595774264429,0.006998331827238458,-1.3438339316321732,0.17953396263561072,644,22
coin_full_joint_completed_int,raw_val_std,0.020700116186061445,0.015603130139975831,1.3266643295518594,0.18514821279343252,644,22
