spec,var,coef,se,t,p,n,r2_within
coin_s1,conv_std,0.005456960109291018,0.007917914353553518,0.6891916059741116,0.49095725051602224,686,-0.0011329533140167491
coin_s2,conv_std,-0.0018858108386760823,0.007439993772834074,-0.2534694108967958,0.799989930461958,680,-0.0012963852160994271
coin_s2,size_std,0.022863870965865764,0.006909818534460897,3.3088960081713057,0.0009911616143893909,680,-0.0012963852160994271
coin_s2,mom_3m_std,-0.0012650864360922952,0.007325334667768701,-0.1727001554834956,0.8629437565403992,680,-0.0012963852160994271
coin_s2,mom_12_2_std,-0.001912520267274492,0.007263388578443169,-0.2633096448881468,0.7923998339109972,680,-0.0012963852160994271
coin_s2,r_1m_std,-0.003256503276387783,0.009967946984373456,-0.3266974916191805,0.7440074902147518,680,-0.0012963852160994271
coin_s2,beta36_std,-0.004857496205398942,0.009556567515631262,-0.5082887969402975,0.6114325017366158,680,-0.0012963852160994271
coin_s3,conv_std,-0.002153734403283522,0.007756071233333806,-0.2776836801120738,0.7813483585175556,680,-0.0010234726294344743
coin_s3,size_std,0.023909814766074507,0.006345870097422574,3.767775639748073,0.00018052493327758157,680,-0.0010234726294344743
coin_s3,mom_3m_std,-0.001898465695481256,0.00769470862115053,-0.24672353287854493,0.8052043910951645,680,-0.0010234726294344743
coin_s3,mom_12_2_std,-0.0018669117901070243,0.00726355872869514,-0.2570243953190154,0.7972457666485977,680,-0.0010234726294344743
coin_s3,r_1m_std,-0.003614927257368675,0.009864652230235225,-0.36645257967522654,0.7141532205128278,680,-0.0010234726294344743
coin_s3,beta36_std,-0.0036548229652567,0.010005465770534057,-0.3652826414158647,0.7150258212340801,680,-0.0010234726294344743
coin_s3,val_std,0.005852988573730622,0.006212450677506632,0.9421384373999924,0.3464910983469882,680,-0.0010234726294344743
coin_s4,conv_std,-0.01002125002071355,0.0059977551211606046,-1.670833473236962,0.09526333697177147,680,0.0019404767889987795
coin_s4,size_std,0.02706668044519643,0.005237243661068582,5.16811555788372,3.2009398487353735e-07,680,0.0019404767889987795
coin_s4,mom_3m_std,-0.0039982071276422745,0.007497114718612738,-0.5332994462144366,0.5940189781937435,680,0.0019404767889987795
coin_s4,mom_12_2_std,-0.00438621372372428,0.008190571792511656,-0.5355198434051255,0.5924840366979423,680,0.0019404767889987795
coin_s4,r_1m_std,-0.005135185760027628,0.00956707330205375,-0.5367561842476178,0.5916301560627577,680,0.0019404767889987795
coin_s4,beta36_std,-0.008135614561155687,0.008841122289060544,-0.9202015643672513,0.3578282321224364,680,0.0019404767889987795
coin_s4,val_std,0.00429188275312343,0.005120666230441688,0.8381492876080756,0.40227248583296715,680,0.0019404767889987795
coin_s4,conv_x_val,-0.01686884812878667,0.0047679804935332505,-3.537944031370445,0.0004336509725524351,680,0.0019404767889987795
coin_s5_low,conv_std,0.0070034142317247135,0.006083344551941792,1.1512440520057732,0.2505704341002155,356,-0.0033537386563817773
coin_s5_low,size_std,0.036382778689554106,0.011191974857824478,3.250791674546906,0.0012850428941562075,356,-0.0033537386563817773
coin_s5_low,mom_3m_std,-0.003462104543643257,0.013081737242427373,-0.2646517415450586,0.7914638293508773,356,-0.0033537386563817773
coin_s5_low,mom_12_2_std,-0.003744141842850286,0.00974167055568481,-0.38434289287943224,0.7010031129727037,356,-0.0033537386563817773
coin_s5_low,r_1m_std,-0.012879081418536121,0.012551702331094327,-1.0260824451382007,0.3056990769309449,356,-0.0033537386563817773
coin_s5_low,beta36_std,0.0013175747518193663,0.010730027041426385,0.12279323684204023,0.9023550129046418,356,-0.0033537386563817773
coin_s5_high,conv_std,-0.030332511347329647,0.002784389894496337,-10.893772961640645,0.0,324,0.0023544464314978475
coin_s5_high,size_std,0.029982214536826143,0.01193415998244693,2.5123020456341085,0.01259844046366787,324,0.0023544464314978475
coin_s5_high,mom_3m_std,-0.005576062343019758,0.014429841354255415,-0.38642575521977973,0.699496216772868,324,0.0023544464314978475
coin_s5_high,mom_12_2_std,-0.01766124121726636,0.020315806378268852,-0.8693349842198735,0.3854626725476229,324,0.0023544464314978475
coin_s5_high,r_1m_std,0.007288868269235817,0.017503735512635583,0.4164178705724921,0.6774464864908589,324,0.0023544464314978475
coin_s5_high,beta36_std,-0.017122642251512908,0.013680494008697098,-1.2516099375232745,0.21183260896740297,324,0.0023544464314978475
coin_s5_diff,conv_std,0.009778093610681906,0.00709968379476671,1.3772576206688945,0.16893365733892418,680,0.0045482517890440555
coin_s5_diff,high_val,0.01654844534390003,0.013306562299059785,1.2436303961895032,0.21410945863169806,680,0.0045482517890440555
coin_s5_diff,conv_x_high,-0.04200495282559187,0.010538197377894016,-3.985971349683172,7.527188961065079e-05,680,0.0045482517890440555
coin_s5_diff,size_std,0.02719981982955762,0.005539295683105121,4.910339036877415,1.1665475001532144e-06,680,0.0045482517890440555
coin_s5_diff,mom_3m_std,-0.005184545927674775,0.007721544056216374,-0.6714390140014624,0.5021930148765288,680,0.0045482517890440555
coin_s5_diff,mom_12_2_std,-0.0018298056704064028,0.0074773058152813035,-0.2447145690720373,0.8067590722522708,680,0.0045482517890440555
coin_s5_diff,r_1m_std,-0.0051839585090900225,0.009724801564506001,-0.5330657365812642,0.5941806456579943,680,0.0045482517890440555
coin_s5_diff,beta36_std,-0.006605352956226662,0.00905789734241094,-0.7292368975412251,0.4661343889779783,680,0.0045482517890440555
coin_s4_fwd3,conv_std,0.0037430817845451768,0.013265595615539204,0.2821646229107544,0.777919346028741,635,-0.0040159722151915656
coin_s4_fwd3,size_std,0.07442749651446476,0.014412085612316997,5.164241908947363,3.3378455488453085e-07,635,-0.0040159722151915656
coin_s4_fwd3,mom_3m_std,-0.0012580910493847027,0.017090056249032884,-0.0736153837677332,0.9413421650780895,635,-0.0040159722151915656
coin_s4_fwd3,mom_12_2_std,-0.03038637162594139,0.023854759883244737,-1.2738074822243073,0.2032489923464731,635,-0.0040159722151915656
coin_s4_fwd3,r_1m_std,-0.0022489476872454687,0.01464035629473499,-0.1536129068152694,0.8779691372003904,635,-0.0040159722151915656
coin_s4_fwd3,beta36_std,-0.015361568812625136,0.020364369068796805,-0.7543356123987567,0.45095815336084266,635,-0.0040159722151915656
coin_s4_fwd3,val_std,0.010431471080638055,0.011350386718813797,0.9190410282098498,0.35846149571849306,635,-0.0040159722151915656
coin_s4_fwd3,conv_x_val,-0.0413503245848339,0.017764834340235458,-2.327650446544262,0.020278599358673155,635,-0.0040159722151915656
coin_s4_fwd6,conv_std,0.06052744400923008,0.031870405974919115,1.8991739250784268,0.05810671967873682,569,0.008189324035891787
coin_s4_fwd6,size_std,0.15437381858871724,0.020576063269653503,7.502592530243365,2.8110846983508964e-13,569,0.008189324035891787
coin_s4_fwd6,mom_3m_std,-0.003660240731686618,0.020822898797898066,-0.17577959568511636,0.8605370084667241,569,0.008189324035891787
coin_s4_fwd6,mom_12_2_std,-0.09959734291421529,0.04289402203291855,-2.3219399392712674,0.020629891283590718,569,0.008189324035891787
coin_s4_fwd6,r_1m_std,0.001994452990573369,0.02372956369791003,0.08404929041105924,0.9330502877809452,569,0.008189324035891787
coin_s4_fwd6,beta36_std,-0.024894589316767912,0.04171832323264099,-0.5967303426349131,0.5509527445333187,569,0.008189324035891787
coin_s4_fwd6,val_std,-0.0176502740120974,0.020455696688494486,-0.8628537214293451,0.3886242606909933,569,0.008189324035891787
coin_s4_fwd6,conv_x_val,-0.09006259793319171,0.03010446530565933,-2.9916690769545364,0.0029091197458286366,569,0.008189324035891787
token_s1,conv_std,0.0064435068969308324,0.0032777297713403384,1.965844455290753,0.0494231324545098,2652,5.393612538406867e-05
token_s2,conv_std,0.005635708434480526,0.003737913830303251,1.5077149154140106,0.1317524580437588,2592,0.005665710409417213
token_s2,size_std,-0.0037366614995174613,0.007140873367975151,-0.5232779391209146,0.6008267131666996,2592,0.005665710409417213
token_s2,mom_3m_std,-0.0022604039132357034,0.004964001527868113,-0.4553592299570621,0.6488899268260133,2592,0.005665710409417213
token_s2,mom_12_2_std,-0.0005862412274097433,0.00470796212879968,-0.12452122837258435,0.9009124934838773,2592,0.005665710409417213
token_s2,r_1m_std,-0.014441928507690297,0.006528251605305115,-2.2122199603878956,0.027040559419662547,2592,0.005665710409417213
token_s2,beta36_std,0.0059198588413059885,0.007132085254815597,0.8300319794002586,0.40659907743777457,2592,0.005665710409417213
token_s3,conv_std,0.006267324982083095,0.004066036405260117,1.54138437471323,0.12334847150635198,2592,0.005536140024567482
token_s3,size_std,-0.0021973229040215645,0.006123098329471789,-0.35885801367019976,0.719731289648166,2592,0.005536140024567482
token_s3,mom_3m_std,-0.0026107916453352214,0.0051440381647448,-0.5075373785576773,0.6118221080381412,2592,0.005536140024567482
token_s3,mom_12_2_std,-0.0009870208298149797,0.004731824077163391,-0.20859203844422586,0.8347835374784309,2592,0.005536140024567482
token_s3,r_1m_std,-0.014796289923556076,0.006414862114908385,-2.3065639850884607,0.021159668252169306,2592,0.005536140024567482
token_s3,beta36_std,0.006417586341426414,0.007454613771899558,0.8608878391014358,0.38938149329553107,2592,0.005536140024567482
