ticker,n,metcalfe_mean,metcalfe_sd,b,t
bch,105,1.0857996589391967,0.983252313840603,-0.019583417527276385,-0.45957805749601266
btc,129,-0.4304199295950055,1.8595623926776508,-0.05010471072297011,-3.689871272136419
dash,129,-1.0938577952224735,0.9707613987307591,0.01697577563770337,0.3645213095954156
doge,128,-0.5792316424827693,2.160190341542802,-0.09446257792541016,-1.6078287184079982
etc,106,1.4557121341308927,0.8522289389476525,-0.03498028006142532,-1.1715377533901186
eth,129,-0.6438089487778298,1.0734786161888357,0.09590899345904264,1.3404580551919467
ltc,128,-1.2228861063475454,1.2878784846267972,0.04869641251190243,1.459959272441326
