cmc_id,symbol,name,slug,date_added,entry_month,tags
1904,VEN,Vechain [Token],vechainold,2017-08-22T00:00:00.000Z,2017-10-31,
1970,ATB,ATBCoin,atbcoin,2017-09-19T00:00:00.000Z,2017-10-31,mineable
2058,AST,AirSwap,airswap,2017-10-17T00:00:00.000Z,2017-10-31,decentralized-exchange;decentralized-exchange-dex-token;defi;ethereum-ecosystem;gnosis-chain-ecosystem;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;marketplace;oracles;payments;smart-contracts
2081,AMB,AirDAO,airdao,2017-10-23T00:00:00.000Z,2017-10-31,ai-big-data;defi;dwf-labs-portfolio;enterprise-solutions;governance;iot;layer-1;logistics;platform
2044,ENG,Enigma,enigma,2017-10-13T00:00:00.000Z,2017-10-31,platform;privacy
1917,BQ,bitqy,bitqy,2017-08-27T00:00:00.000Z,2017-10-31,
2034,EVX,Everex,everex,2017-10-10T00:00:00.000Z,2017-10-31,services;smart-contracts
2112,PHB,Phoenix Global,phoenix-global,2017-10-28T00:00:00.000Z,2017-10-31,binance-smart-chain;defi;enterprise-solutions;research;services
2071,REQ,Request,request,2017-10-20T00:00:00.000Z,2017-10-31,binance-ecosystem;binance-listing;defi;ethereum-ecosystem;medium-of-exchange;payments;polygon-ecosystem;smart-contracts
2057,EDO,Eidoo,eidoo,2017-10-17T00:00:00.000Z,2017-10-31,defi;services
2080,MOD,Modum,modum,2017-10-23T00:00:00.000Z,2017-10-31,
2019,VIB,Viberate,viberate,2017-10-06T00:00:00.000Z,2017-10-31,media;music
1995,TGT,Target Coin,target-coin,2017-09-29T00:00:00.000Z,2017-10-31,
2036,PPP,PayPie,paypie,2017-10-10T00:00:00.000Z,2017-10-31,marketplace;smart-contracts
2043,CND,Cindicator,cindicator,2017-10-13T00:00:00.000Z,2017-10-31,ai-big-data;services
2017,KICK,KickToken [old],kick-token,2017-10-04T00:00:00.000Z,2017-10-31,asset-management;crowdfunding
2064,ART,Maecenas,maecenas,2017-10-18T00:00:00.000Z,2017-10-31,art
2110,DOV,Dovu,dovu,2017-10-27T00:00:00.000Z,2017-10-31,binance-smart-chain;bnb-chain
1654,BTX,BitCore,bitcore,2017-04-27T00:00:00.000Z,2017-10-31,masternodes;mineable
2040,ALIS,ALIS,alis,2017-10-12T00:00:00.000Z,2017-10-31,
1991,RVT,Rivetz,rivetz,2017-09-25T00:00:00.000Z,2017-10-31,hardware;payments
1969,SCL,Sociall,sociall,2017-09-19T00:00:00.000Z,2017-10-31,entertainment;marketplace
2060,CAG,Change,change,2017-10-17T00:00:00.000Z,2017-10-31,asset-management;payments;wallet
2061,BCPT,Blockmason Credit Protocol,blockmason,2017-10-17T00:00:00.000Z,2017-10-31,platform
2083,BTG,Bitcoin Gold,bitcoin-gold,2017-10-23T00:00:00.000Z,2017-11-30,bitcoin-ecosystem;btc-ecosystem;medium-of-exchange;mineable;payments
2132,POWR,Powerledger,power-ledger,2017-11-01T00:00:00.000Z,2017-11-30,alleged-sec-securities;binance-ecosystem;binance-listing;communications-social-media;energy;ethereum-ecosystem;sec-security-token;sharing-economy
2161,RDN,Raiden Network Token,raiden-network-token,2017-11-08T00:00:00.000Z,2017-11-30,fabric-ventures-portfolio;platform;scaling;state-channel;state-channels
2091,XUC,Exchange Union,exchange-union,2017-10-25T00:00:00.000Z,2017-11-30,
2027,CNX,Cryptonex,cryptonex,2017-10-07T00:00:00.000Z,2017-11-30,centralized-exchange;medium-of-exchange;mineable;smart-contracts
2209,INK,Ink,ink,2017-11-20T00:00:00.000Z,2017-11-30,identity;services
2143,DATA,Streamr,streamr,2017-11-03T00:00:00.000Z,2017-11-30,ai-big-data;binance-ecosystem;binance-listing;bnb-chain-ecosystem;content-creation;depin;distributed-computing;ethereum-ecosystem;fabric-ventures-portfolio;filesharing;iot;media;payments;platform;polygon-ecosystem;web3
2139,MNX,MinexCoin,minexcoin,2017-11-02T00:00:00.000Z,2017-11-30,mineable
