cmc_id,symbol,name,in_universe,asset_class,classification_basis,defillama_categories,ambiguous_flag,staking_start,transition_note,tags,asset_class_original,confirmation_basis,sector,market_cap,month_end
29210,JUP,Jupiter,True,token,"governance/defi tags: ['amm', 'decentralized-exchange-dex-token', 'defi', 'derivatives', 'perp-dex-coins', 'perpetuals']",Basis Trading;DCA Tools;DEX Aggregator;Derivatives;Interface;Launchpad;Lending;Liquid Staking,False,,,amm;binance-ecosystem;binance-liquidity-enhancement-program;binance-listing;cross-chain;decentralized-exchange-dex-token;defi;derivatives;moonshot;perp-dex-coins;perpetuals;solana-ecosystem,token,,Basis Trading;DCA Tools;DEX Aggregator;Derivatives;Interface;Launchpad;Lending;Liquid Staking;Perpetuals,632935286.4638544,2026-05-31
36507,PUMP,Pump.fun,True,token,"DeFiLlama governance/DeFi category: ['Dexs', 'Launchpad', 'Reserve Currency']",Dexs;Launchpad;Reserve Currency;Telegram Bot,True,,,binance-alpha;binance-ecosystem;binance-listing;coinlist-launchpad;launchpad;pump-fun-ecosystem;solana-ecosystem,token,,Dexs;Launchpad;Reserve Currency;Telegram Bot,631596081.5652021,2026-05-31
7186,CAKE,PancakeSwap,True,token,"governance/defi tags: ['amm', 'decentralized-exchange', 'decentralized-exchange-dex-token', 'defi', 'derivatives', 'dex', 'governance', 'perpetuals', 'yield-farming']",Derivatives;Dexs;Luck Games;Options;Prediction Market;Reserve Currency,False,,,amm;aptos-ecosystem;arbitrum-ecosystem;base-ecosystem;binance-chain;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;collectibles-nfts;decentralized-exchange;decentralized-exchange-dex-token;defi;derivatives;dex;ethereum-ecosystem;governance;linea-ecosystem;move-vm;opbnb-ecosystem;perpetuals;polygon-zkevm-ecosystem;privacy;smart-contracts;solana-ecosystem;yield-farming;zksync-era-ecosystem,token,,Derivatives;Dexs;Luck Games;Options;Prediction Market;Reserve Currency;NFT;DEX;Perpetuals;Privacy;Smart Contract Platform;Yield,482579133.3915582,2026-05-31
39720,EDGE,edgeX,True,token,"governance/defi tags: ['decentralized-exchange-dex-token', 'defi', 'derivatives', 'perp-dex-coins', 'perpetuals']",Bridge;DEX Aggregator;Derivatives;Dexs;Yield,False,,,amber-group-portfolio;binance-alpha;binance-alpha-airdrops;binance-ecosystem;binance-listing;bnb-chain-ecosystem;circle-ventures-portfolio;decentralized-exchange-dex-token;defi;derivatives;ethereum-ecosystem;perp-dex-coins;perpetuals,token,,Bridge;DEX Aggregator;Derivatives;Dexs;Yield;Perpetuals,455039972.3010559,2026-05-31
26997,ZRO,LayerZero,True,token,governance/defi tags: ['defi'],Bridge,False,,,a16z-portfolio;arbitrum-ecosystem;avalanche-ecosystem;base-ecosystem;binance-ecosystem;binance-labs-portfolio;binance-listing;coinbase-ventures-portfolio;cross-chain;defi;ethereum-ecosystem;interoperability;multicoin-capital-portfolio;optimism-ecosystem;polygon-ecosystem;sino-global-capital,token,,Bridge;Interoperability,392476657.755972,2026-05-31
29270,AERO,Aerodrome Finance,True,token,"governance/defi tags: ['amm', 'defi']",Dexs;Launchpad,False,,,amm;base-ecosystem;binance-alpha;binance-ecosystem;binance-listing;defi;made-in-america,token,,Dexs;Launchpad,388883772.2639741,2026-05-31
31503,BWB,Bitget Wallet Token,True,token,governance/defi tags: ['governance'],,False,,,base-ecosystem;ethereum-ecosystem;governance;solana-ecosystem;toncoin-ecosystem;wallet;web3,token,,,377930142.1768397,2025-03-31
10529,SUN,Sun [New],True,token,"DeFiLlama governance/DeFi category: ['Derivatives', 'Dexs']",Bridge;Derivatives;Dexs,True,,,binance-ecosystem;binance-listing;made-in-china;tron-ecosystem;tron20-ecosystem,token,,Bridge;Derivatives;Dexs,355014296.8250925,2026-05-31
39125,LIT,Lighter,True,token,"governance/defi tags: ['decentralized-exchange-dex-token', 'defi', 'derivatives', 'dex', 'perp-dex-coins', 'perpetuals']",Algo-Stables;Bridge;Derivatives;Dexs;Yield,False,,,a16z-portfolio;binance-ecosystem;binance-listing;coinbase-ventures-portfolio;decentralized-exchange-dex-token;defi;derivatives;dex;dragonfly-capital-portfolio;ethereum-ecosystem;perp-dex-coins;perpetuals;zero-knowledge-proofs,token,,Algo-Stables;Bridge;Derivatives;Dexs;Yield;DEX;Perpetuals;Zero Knowledge,342571404.58191794,2026-05-31
5830,NXM,NXM,True,token,governance/defi tags: ['defi'],Insurance,False,,,arrington-xrp-capital-portfolio;defi;insurance;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;placeholder-ventures-portfolio,token,,Insurance,332927107.4133812,2023-02-28
5190,FLEX,FLEX,True,token,"DeFiLlama governance/DeFi category: ['CDP', 'Yield']",CDP;Yield,True,,,,token,,CDP;Yield,325766335.10142463,2024-11-30
28177,PYTH,Pyth Network,True,token,governance/defi tags: ['defi'],MEV;Oracle,False,,,binance-ecosystem;binance-listing;cmc-crypto-yearbook-2024-2025;cross-chain;defi;oracles;solana-ecosystem,token,,MEV;Oracle,323935325.92258894,2026-05-31
1982,KNCL,Kyber Network Crystal Legacy,True,token,"governance/defi tags: ['amm', 'dao', 'decentralized-exchange', 'defi', 'governance']",,False,,,amm;dao;decentralized-exchange;defi;governance;kinetic-capital;marketplace;pantera-capital-portfolio;parafi-capital;three-arrows-capital-portfolio,token,,DEX,299761355.9499859,2021-07-31
