cmc_id,symbol,name,asset_class,chain,class,tx_repository,ch1_staking,ch2_holding,ch3_voting
2507,TKY,THEKEY,other,Neo,NonEVM-indexed,NeoTube/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
3237,TMC,Timicoin,other,,NO-IDENTITY,,no,no,no
2443,TNC,Trinity Network Credit,other,Neo,NonEVM-indexed,NeoTube/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1923,TNT,Tierion,other,,NO-IDENTITY,,no,no,no
2627,TPAY,TokenPay,other,,NO-IDENTITY,,no,no,no
1423,TRIG,Triggers,other,,NO-IDENTITY,,no,no,no
468,TRK,Truckcoin,other,,NO-IDENTITY,,no,no,no
941,TRMB,TRMB,other,,NO-IDENTITY,,no,no,no
35336,TRUMP,OFFICIAL TRUMP,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
450,TRUST,TrustPlus,other,,NO-IDENTITY,,no,no,no
2215,TSL,Energo,other,,NO-IDENTITY,,no,no,no
2886,TTU,TaTaTu,other,,NO-IDENTITY,,no,no,no
1129,TVE,The Viral Exchange,other,,NO-IDENTITY,,no,no,no
1560,UNIBURST,UniBURST,other,,NO-IDENTITY,,no,no,no
643,UNITY,SuperNET,other,,NO-IDENTITY,,no,no,no
36828,USELESS,Useless Coin,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
