cmc_id,symbol,chainid,address,holder_count,est_transfers,est_getlogs_calls
2553,RFR,1,0xd0929d411954c47438dc1d871dd6081f5c5e149c,65142,2605680,5211
8000,LDO,1,0x5a98fcbea516cf06857215779fd812ca3bef1b32,65488,2619520,5239
10729,UFO,1,0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,66644,2665760,5332
8438,HOGE,1,0xfad45e47083e4607302aa43c65fb3106f1cd7607,67452,2698080,5396
13855,ENS,1,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,67611,2704440,5409
2603,NPXS,1,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,69740,2789600,5579
2468,LET,1,0xfa3118b34522580c35ae27f6cf52da1dbb756288,69948,2797920,5596
2694,NEXO,1,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,70426,2817040,5634
1518,MKR,1,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,72749,2909960,5820
9481,PENDLE,1,0x808507121b80c02388fad14726482e061b8da827,72824,2912960,5826
2554,LYM,1,0xc690f7c7fcffa6a82b79fab7508c466fefdfc8c5,75666,3026640,6053
1759,SNT,1,0x744d70fdbe2ba4cf95131626614a1763df805b9e,75976,3039040,6078
17081,LOOKS,1,0xf4d2888d29D722226FafA5d9B24F9164c092421E,77177,3087080,6174
6783,AXS,1,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,77371,3094840,6190
1982,KNCL,1,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,79462,3178480,6357
1595,SOAR,1,0xD65960FAcb8E4a2dFcb2C2212cb2e44a02e2a57E,79884,3195360,6391
1886,DENT,1,0x3597bfd533a99c9aa083587b074434e61eb0a258,80116,3204640,6409
2946,PTT,1,0x4689a4e169eb39cc9078c0940e21ff1aa8a39b9c,80795,3231800,6464
1757,FUN,1,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,81523,3260920,6522
32994,CBBTC,1,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,82828,3313120,6626
2586,SNX,1,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,87825,3513000,7026
10052,GTC,1,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,89599,3583960,7168
1963,CREDO,1,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,89979,3599160,7198
4705,PAXG,1,0x45804880de22913dafe09f4980848ece6ecbaf78,91783,3671320,7343
2765,XYO,1,0x55296f69f40ea6d20e478533c15a6b08b654e758,92551,3702040,7404
5690,RENDER,1,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,92578,3703120,7406
11865,BONE,1,0x9813037ee2218799597d83D4a5B6F3b6778218d9,93107,3724280,7449
10240,WFTM,1,0x4e15361fd6b4bb609fa63c81a2be19d873717870,94585,3783400,7567
2644,EOSDAC,1,0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba,97092,3883680,7767
30171,ENA,1,0x57e114B691Db790C35207b2e685D4A43181e6061,97815,3912600,7825
10603,IMX,1,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,98032,3921280,7843
33251,WLFI,1,0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6,99662,3986480,7973
6538,CRV,1,0xD533a949740bb3306d119CC777fa900bA034cd52,100379,4015160,8030
8425,JASMY,1,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,100931,4037240,8074
6945,AMP,1,0xff20817765cb7f73d4bde2e66e067e58d11095c2,101321,4052840,8106
10804,FLOKI,1,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,102493,4099720,8199
2407,AIT,1,0x79650799e7899a802cb96c0bc33a6a8d4ce4936c,102862,4114480,8229
2165,ERC20,1,0xc3761EB917CD790B30dAD99f6Cc5b4Ff93C4F9eA,103063,4122520,8245
1772,STORJ,1,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,105041,4201640,8403
2496,POLY,1,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,105138,4205520,8411
8104,1INCH,1,0x111111111117dc0aa78b770fa6a738034120c302,111505,4460200,8920
2682,HOT,1,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,114151,4566040,9132
3070,LXT,1,0xbc46d9961a3932f7d6b64abfdec80c1816c4b835,121338,4853520,9707
6758,SUSHI,1,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,126599,5063960,10128
2573,ELEC,1,0xd49ff13661451313ca1553fd6954bd1d9b6e02b9,127440,5097600,10195
3089,AVINOC,1,0xf1ca9cb74685755965c7458528a36934df52a3ef,128482,5139280,10279
5266,MLK,42161,0x374c5FB7979d5fDBAAd2d95409e235e5CBdfD43C,132093,5283720,10567
2239,LEND,1,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,133500,5340000,10680
2859,XMX,1,0x0f8c45b896784a1e408526b9300519ef8660209c,146551,5862040,11724
28568,EETH,1,0x35fA164735182de50811E8e2E824cFb9B6118ac2,159423,6376920,12754
9436,ELON,1,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,163818,6552720,13105
1934,LRC,1,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,167253,6690120,13380
