ym,channel,n_assets,standardizable
2022-09,ch3_voting,27,True
2022-10,ch1_staking,27,True
2022-10,ch2_holding,145,True
2022-10,ch3_delegation,9,True
2022-10,ch3_voting,22,True
2022-11,ch1_staking,27,True
2022-11,ch2_holding,147,True
2022-11,ch3_delegation,9,True
2022-11,ch3_voting,24,True
2022-12,ch1_staking,27,True
2022-12,ch2_holding,146,True
2022-12,ch3_delegation,9,True
2022-12,ch3_voting,25,True
2023-01,ch1_staking,27,True
2023-01,ch2_holding,150,True
2023-01,ch3_delegation,9,True
2023-01,ch3_voting,20,True
2023-02,ch1_staking,30,True
2023-02,ch2_holding,150,True
2023-02,ch3_delegation,9,True
2023-02,ch3_voting,20,True
2023-03,ch1_staking,31,True
2023-03,ch2_holding,150,True
2023-03,ch3_delegation,9,True
2023-03,ch3_voting,22,True
2023-04,ch1_staking,31,True
2023-04,ch2_holding,150,True
2023-04,ch3_delegation,9,True
2023-04,ch3_voting,26,True
2023-05,ch1_staking,31,True
2023-05,ch2_holding,151,True
2023-05,ch3_delegation,9,True
2023-05,ch3_voting,23,True
2023-06,ch1_staking,32,True
2023-06,ch2_holding,154,True
2023-06,ch3_delegation,9,True
2023-06,ch3_voting,24,True
2023-07,ch1_staking,33,True
2023-07,ch2_holding,152,True
2023-07,ch3_delegation,7,True
2023-07,ch3_voting,26,True
2023-08,ch1_staking,33,True
2023-08,ch2_holding,150,True
2023-08,ch3_delegation,8,True
2023-08,ch3_voting,25,True
2023-09,ch1_staking,33,True
2023-09,ch2_holding,150,True
2023-09,ch3_delegation,7,True
2023-09,ch3_voting,23,True
2023-10,ch1_staking,35,True
2023-10,ch2_holding,150,True
2023-10,ch3_delegation,8,True
2023-10,ch3_voting,21,True
2023-11,ch1_staking,36,True
2023-11,ch2_holding,145,True
2023-11,ch3_delegation,8,True
2023-11,ch3_voting,26,True
2023-12,ch1_staking,36,True
2023-12,ch2_holding,147,True
2023-12,ch3_delegation,8,True
2023-12,ch3_voting,22,True
2024-01,ch1_staking,36,True
2024-01,ch2_holding,150,True
2024-01,ch3_delegation,9,True
2024-01,ch3_voting,19,True
2024-02,ch1_staking,36,True
2024-02,ch2_holding,150,True
2024-02,ch3_delegation,9,True
2024-02,ch3_voting,23,True
2024-03,ch1_staking,36,True
2024-03,ch2_holding,144,True
2024-03,ch3_delegation,9,True
2024-03,ch3_voting,24,True
2024-04,ch1_staking,37,True
2024-04,ch2_holding,148,True
2024-04,ch3_delegation,9,True
2024-04,ch3_voting,19,True
2024-05,ch1_staking,37,True
2024-05,ch2_holding,153,True
2024-05,ch3_delegation,9,True
2024-05,ch3_voting,24,True
2024-06,ch1_staking,36,True
2024-06,ch2_holding,141,True
2024-06,ch3_delegation,10,True
2024-06,ch3_voting,21,True
2024-07,ch1_staking,37,True
2024-07,ch2_holding,140,True
2024-07,ch3_delegation,11,True
2024-07,ch3_voting,21,True
2024-08,ch1_staking,37,True
2024-08,ch2_holding,139,True
2024-08,ch3_delegation,10,True
2024-08,ch3_voting,20,True
2024-09,ch1_staking,36,True
2024-09,ch2_holding,135,True
2024-09,ch3_delegation,10,True
2024-09,ch3_voting,18,True
2024-10,ch1_staking,36,True
2024-10,ch2_holding,135,True
2024-10,ch3_delegation,10,True
2024-10,ch3_voting,20,True
2024-11,ch1_staking,37,True
2024-11,ch2_holding,128,True
2024-11,ch3_delegation,10,True
2024-11,ch3_voting,17,True
2024-12,ch1_staking,38,True
2024-12,ch2_holding,128,True
2024-12,ch3_delegation,11,True
2024-12,ch3_voting,24,True
2025-01,ch1_staking,39,True
2025-01,ch2_holding,149,True
2025-01,ch3_delegation,11,True
2025-01,ch3_voting,18,True
2025-02,ch1_staking,39,True
2025-02,ch2_holding,135,True
2025-02,ch3_delegation,11,True
2025-02,ch3_voting,18,True
2025-03,ch1_staking,39,True
2025-03,ch2_holding,150,True
2025-03,ch3_delegation,12,True
2025-03,ch3_voting,17,True
2025-04,ch1_staking,39,True
2025-04,ch2_holding,132,True
2025-04,ch3_delegation,12,True
2025-04,ch3_voting,18,True
2025-05,ch1_staking,39,True
2025-05,ch2_holding,150,True
2025-05,ch3_delegation,13,True
2025-05,ch3_voting,15,True
2025-06,ch1_staking,39,True
2025-06,ch2_holding,130,True
2025-06,ch3_delegation,14,True
2025-06,ch3_voting,19,True
2025-07,ch1_staking,40,True
2025-07,ch2_holding,131,True
2025-07,ch3_delegation,15,True
2025-07,ch3_voting,18,True
2025-08,ch1_staking,40,True
2025-08,ch2_holding,133,True
2025-08,ch3_delegation,15,True
2025-08,ch3_voting,20,True
2025-09,ch1_staking,41,True
2025-09,ch2_holding,139,True
2025-09,ch3_delegation,17,True
2025-09,ch3_voting,13,True
2025-10,ch1_staking,41,True
2025-10,ch2_holding,135,True
2025-10,ch3_delegation,17,True
2025-10,ch3_voting,16,True
2025-11,ch1_staking,40,True
2025-11,ch2_holding,156,True
2025-11,ch3_delegation,18,True
2025-11,ch3_voting,14,True
2025-12,ch1_staking,41,True
2025-12,ch2_holding,159,True
2025-12,ch3_delegation,18,True
2025-12,ch3_voting,16,True
2026-01,ch1_staking,41,True
2026-01,ch2_holding,156,True
2026-01,ch3_delegation,18,True
2026-01,ch3_voting,9,True
2026-02,ch1_staking,42,True
2026-02,ch2_holding,150,True
2026-02,ch3_delegation,18,True
2026-02,ch3_voting,13,True
2026-03,ch1_staking,42,True
2026-03,ch2_holding,151,True
2026-03,ch3_delegation,17,True
2026-03,ch3_voting,11,True
2026-04,ch1_staking,42,True
2026-04,ch2_holding,152,True
2026-04,ch3_delegation,17,True
2026-04,ch3_voting,8,True
2026-05,ch1_staking,41,True
2026-05,ch2_holding,151,True
2026-05,ch3_delegation,17,True
2026-05,ch3_voting,14,True
