cmc_id,symbol,name,chain,chainid,address,etherscan_reachable,getlogs_free_tier,contract,ch1_lock_stake,ch1_event,ch2_holding,ch3_voting,ch3_event
1808,OMG,OMG Network,Ethereum,1,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,yes,yes,OMGToken,-,,Transfer-log (free),-,
1834,PLR,Pillar,Ethereum,1,0xe3818504c1b32bf1557b16c238b2e01fd3149c17,yes,yes,PillarToken,-,,Transfer-log (free),-,
1847,MSP,Mothership,Ethereum,1,0x68aa3f232da9bdc2343465545794ef3eea5209bd,yes,yes,MSP,-,,Transfer-log (free),-,
1867,CTR,Centra,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
1882,CAT,BlockCAT,Ethereum,1,0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,yes,yes,CATToken,-,,Transfer-log (free),-,
1904,VEN,Vechain [Token],non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
1982,KNCL,Kyber Network Crystal Legacy,Ethereum,1,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,yes,yes,KyberNetworkCrystal,-,,Transfer-log (free),-,
1984,SUB,Substratum,Ethereum,1,0x8D75959f1E61EC2571aa72798237101F084DE63a,yes,yes,Substratum,-,,Transfer-log (free),-,
2015,ATM,ATMChain,Ethereum,1,0x9B11EFcAAA1890f6eE52C6bB7CF8153aC5d74139,yes,yes,ATMToken,-,,Transfer-log (free),-,
2057,EDO,Eidoo,Ethereum,1,0xced4e93198734ddaff8492d525bd258d49eb388e,yes,yes,EidooToken,-,,Transfer-log (free),-,
2058,AST,AirSwap,Ethereum,1,0x27054b13b1b798b345b591a4d22e6562d47ea75a,yes,yes,AirSwapToken,event-declared(no logs),"BalanceLocked(address,uint256,uint256,uint256)",Transfer-log (free),-,
2071,REQ,Request,Ethereum,1,0x8f8221afbb33998d8584a2b05749ba73c37a938a,yes,yes,RequestToken,-,,Transfer-log (free),-,
2081,AMB,AirDAO,Ethereum,1,0xf4fb9bf10e489ea3edb03e094939341399587b0c,yes,yes,BridgeERC20,-,,Transfer-log (free),-,
2096,RCN,Ripio Credit Network,Ethereum,1,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,yes,yes,RCNToken,-,,Transfer-log (free),-,
2099,ICX,ICON,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
2110,DOV,Dovu,Ethereum,1,0xac3211a5025414af2866ff09c23fc18bc97e79b1,yes,yes,BurnableCrowdsaleToken,-,,Transfer-log (free),-,
2112,PHB,Phoenix Global,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
2120,FUEL,Etherparty,Ethereum,1,0xea38eaa3c86c8f9b751533ba2e562deb9acded40,yes,yes,FuelToken,-,,Transfer-log (free),-,
2165,ERC20,ERC20,Ethereum,1,0xc3761EB917CD790B30dAD99f6Cc5b4Ff93C4F9eA,yes,yes,TokenERC20,-,,Transfer-log (free),-,
2176,HST,Decision Token,Ethereum,1,0x554c20b7c486beee439277b4540a434566dc4c02,yes,yes,DecisionToken,-,,Transfer-log (free),-,
2202,PRL,Oyster,Ethereum,1,0x1844b21593262668b7248d0f57a220caaba46ab9,yes,yes,OysterPearl,-,,Transfer-log (free),-,
2223,VEE,BLOCKv,Ethereum,1,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,yes,yes,BlockvToken,-,,Transfer-log (free),-,
2239,LEND,Aave,Ethereum,1,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,yes,yes,EthLendToken,-,,Transfer-log (free),-,
2242,QBT,Qbao,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
2273,UQC,Uquid Coin,Ethereum,1,0x8806926ab68eb5a7b909dcaf6fdbe5d93271d6e2,yes,yes,UquidCoin,-,,Transfer-log (free),-,
2277,SMT,SmartMesh,Ethereum,1,0x55f93985431fc9304077687a35a1ba103dc1e081,yes,yes,SMT,-,,Transfer-log (free),-,
2296,OST,OST,Ethereum,1,0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca,yes,yes,SimpleToken,-,,Transfer-log (free),-,
2308,SAI,Single Collateral DAI ,Ethereum,1,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,yes,yes,DSToken,-,,Transfer-log (free),-,
2318,NEU,Neumark,Ethereum,1,0xa823e6722006afe99e91c30ff5295052fe6b8e32,yes,yes,Neumark,-,,Transfer-log (free),-,
2320,UTK,xMoney,Ethereum,1,0xdc9Ac3C20D1ed0B540dF9b1feDC10039Df13F99c,yes,yes,UtrustToken,-,,Transfer-log (free),-,
2324,ONE,BigONE Token,Ethereum,1,0x946551dd05c5abd7cc808927480225ce36d8c475,yes,yes,Token,-,,Transfer-log (free),-,
2341,SWFTC,SwftCoin,Ethereum,1,0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,yes,yes,SwftCoin,-,,Transfer-log (free),-,
2363,ZAP,Zap,Ethereum,1,0x6781a0f84c7e9e846dcb84a9a5bd49333067b104,yes,yes,ZapToken,-,,Transfer-log (free),-,
2377,LEV,Leverj,Ethereum,1,0x0f4ca92660efad97a9a70cb0fe969c755439772c,yes,yes,HumanStandardToken,-,,Transfer-log (free),-,
2410,SPC,SpaceChain,Ethereum,1,0x86ed939b500e121c0c5f493f399084db596dad20,yes,yes,SpaceChain,-,,Transfer-log (free),-,
2424,AGIX,SingularityNET,Ethereum,1,0x5B7533812759B45C2B44C19e320ba2cD2681b542,yes,yes,SingularityNetToken,-,,Transfer-log (free),-,
2429,MOBI,Mobius,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
2430,HOT,Hydro Protocol,Ethereum,1,0x9af839687f6c94542ac5ece2e317daae355493a1,yes,yes,HydroToken,-,,Transfer-log (free),-,
2496,POLY,Polymath,Ethereum,1,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,yes,yes,PolyToken,-,,Transfer-log (free),-,
2505,BLZ,Bluzelle,Ethereum,1,0x5732046a883704404f284ce41ffadd5b007fd668,yes,yes,BluzelleToken,-,,Transfer-log (free),-,
2530,FSN,Fusion,Ethereum,1,0x9AfC975EdB8a0B57f066e8e0A72A5e2ADbdCb605,yes,yes,Token,-,,Transfer-log (free),-,
2538,NEC,Nectar,Ethereum,1,0xcc80c051057b774cd75067dc48f8987c4eb97a5e,yes,yes,NEC,-,,Transfer-log (free),-,
2545,ABT,ArcBlock,Ethereum,1,0xb98d4c97425d9908e66e53a6fdf673acca0be986,yes,yes,ArcBlockToken,-,,Transfer-log (free),-,
2559,AUTO,Cube,Ethereum,1,0x622dFfCc4e83C64ba959530A5a5580687a57581b,yes,yes,Token,-,,Transfer-log (free),-,
2576,TEN,Tokenomy,Ethereum,1,0xdd16ec0f66e54d453e6756713e533355989040e4,yes,yes,TenToken,-,,Transfer-log (free),-,
2586,SNX,Synthetix,Ethereum,1,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,yes,yes,ProxyERC20,-,,Transfer-log (free),-,
2593,DRG,Dragon Coins,Ethereum,1,0x814f67fa286f7572b041d041b1d99b432c9155ee,yes,yes,Dragon,-,,Transfer-log (free),-,
2620,SWTH,Carbon Protocol,Ethereum,1,0xb4371da53140417cbb3362055374b10d97e420bb,yes,yes,SwitcheoToken,-,,Transfer-log (free),-,
2662,XHV,Haven Protocol,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
2663,KST,StarCoin,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
2675,DOCK,Dock,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
2693,LRN,Loopring [NEO],non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
2700,CEL,Celsius,Ethereum,1,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,yes,yes,CelsiusToken,-,,Transfer-log (free),-,
2726,GEN,DAOstack,Ethereum,1,0x543ff227f64aa17ea132bf9886cab5db55dcaddf,yes,yes,DAOToken,-,,Transfer-log (free),-,
2765,XYO,XYO,Ethereum,1,0x55296f69f40ea6d20e478533c15a6b08b654e758,yes,yes,TokenERC20,-,,Transfer-log (free),-,
2772,DGTX,Digitex,Ethereum,1,0xc666081073e8dff8d3d1c2292a29ae1a2153ec09,yes,yes,DGTXToken,-,,Transfer-log (free),-,
2778,EXC,Eximchain,Ethereum,1,0x00c4b398500645eb5da00a1a379a88b11683ba01,yes,yes,EximchainToken,-,,Transfer-log (free),-,
2826,ZIP,Zipper,Ethereum,1,0xa9d2927d3a04309e008b6af6e2e282ae2952e7fd,yes,yes,HumanStandardToken,-,,Transfer-log (free),-,
2873,MET,Metronome,Ethereum,1,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,yes,yes,Metronome2,-,,Transfer-log (free),ERC20Votes,"DelegateVotesChanged(address,uint256,uint256)"
2930,IQ,IQ,Ethereum,1,0x579cea1889991f68acc35ff5c3dd0621ff29b0c9,yes,yes,IQERC20,-,,Transfer-log (free),-,
2933,BMX,BitMart Token,Ethereum,1,0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,yes,yes,BMC,-,,Transfer-log (free),-,
2937,VITE,VITE,Ethereum,1,0xadd5e881984783dd432f80381fb52f45b53f3e70,yes,yes,ViteToken,-,,Transfer-log (free),-,
2945,BOX,ContentBox,Ethereum,1,0x63f584fa56e60e4d0fe8802b27c7e6e3b33e007f,yes,yes,BOXToken,-,,Transfer-log (free),-,
2982,MVL,MVL,Ethereum,1,0xa849eaae994fb86afa73382e9bd88c2b6b18dc71,yes,yes,MVLToken,admin/vesting-lock(not conviction),,Transfer-log (free),-,
3053,YOU,YOU COIN,Ethereum,1,0x34364BEe11607b1963d66BCA665FDE93fCA666a8,yes,yes,YOUToken,-,,Transfer-log (free),-,
3083,LINA,LINA,Ethereum,1,0xc05d14442a510de4d3d71a3d316585aa0ce32b50,yes,yes,TokenERC20,-,,Transfer-log (free),-,
3139,DX,DxChain Token,Ethereum,1,0x973e52691176d36453868D9d86572788d27041A9,yes,yes,DxToken,-,,Transfer-log (free),-,
3155,QNT,Quant,Ethereum,1,0x4a220e6096b25eadb88358cb44068a3248254675,yes,yes,StandardToken,-,,Transfer-log (free),-,
3296,MIN,MINDOL,Ethereum,1,0x5d64d850c8368008afb39224e92ad0dceff3cf38,yes,yes,TokenERC20,-,,Transfer-log (free),-,
3325,ROX,Robotina,Ethereum,1,0x574f84108a98c575794f75483d801d1d5dc861a5,yes,yes,RoxToken,-,,Transfer-log (free),-,
3367,CRD,CryptalDash,Ethereum,1,0xcaaa93712bdac37f736c323c93d4d5fdefcc31cc,yes,yes,CRDToken,-,,Transfer-log (free),-,
3418,META,Metadium,Ethereum,1,0xde2f7766c8bf14ca67193128535e5c7454f8387c,yes,yes,Metadium,-,,Transfer-log (free),-,
3475,BOX,BOX Token,Ethereum,1,0xe1A178B681BD05964d3e3Ed33AE731577d9d96dD,yes,yes,BOX,-,,Transfer-log (free),-,
