STREAM build: 1 tokens | WORKERS=8 BLOCK_WINDOW=100000 RATE=8.0/s DAILY_CAP=185000
  --- RAIN cmc=38341 chain=42161 START (gl_so_far=0) ---
    RAIN batch 1/587 block<=799,999 tf=0 gl=8 lots=0 2s
    RAIN batch 391/587 block<=312,799,999 tf=0 gl=3128 lots=0 393s
    RAIN batch 396/587 block<=316,799,999 tf=0 gl=3168 lots=0 398s
    RAIN batch 401/587 block<=320,799,999 tf=0 gl=3208 lots=0 403s
    RAIN batch 406/587 block<=324,799,999 tf=0 gl=3248 lots=0 408s
    RAIN batch 411/587 block<=328,799,999 tf=0 gl=3288 lots=0 413s
    RAIN batch 416/587 block<=332,799,999 tf=0 gl=3328 lots=0 418s
    RAIN batch 421/587 block<=336,799,999 tf=0 gl=3368 lots=0 423s
    RAIN batch 426/587 block<=340,799,999 tf=0 gl=3408 lots=0 428s
    RAIN batch 431/587 block<=344,799,999 tf=0 gl=3448 lots=0 433s
    RAIN batch 436/587 block<=348,799,999 tf=0 gl=3488 lots=0 438s
    RAIN batch 441/587 block<=352,799,999 tf=0 gl=3528 lots=0 443s
    RAIN batch 446/587 block<=356,799,999 tf=0 gl=3568 lots=0 448s
    RAIN batch 451/587 block<=360,799,999 tf=0 gl=3608 lots=0 453s
    RAIN batch 456/587 block<=364,799,999 tf=0 gl=3648 lots=0 458s
    RAIN batch 461/587 block<=368,799,999 tf=0 gl=3688 lots=0 463s
    RAIN batch 466/587 block<=372,799,999 tf=1 gl=3728 lots=1 468s
    RAIN batch 471/587 block<=376,799,999 tf=21 gl=3768 lots=11 474s
    RAIN batch 476/587 block<=380,799,999 tf=23380 gl=3898 lots=16008 490s
    RAIN batch 481/587 block<=384,799,999 tf=28883 gl=3940 lots=16237 496s
    RAIN batch 486/587 block<=388,799,999 tf=48907 gl=4006 lots=16619 504s
    RAIN batch 491/587 block<=392,799,999 tf=66883 gl=4052 lots=16921 511s
    RAIN batch 496/587 block<=396,799,999 tf=93936 gl=4094 lots=17111 518s
    RAIN batch 501/587 block<=400,799,999 tf=124958 gl=4154 lots=17621 527s
    RAIN batch 506/587 block<=404,799,999 tf=204913 gl=4382 lots=18599 558s
    RAIN batch 511/587 block<=408,799,999 tf=319993 gl=4698 lots=19121 599s
    RAIN batch 516/587 block<=412,799,999 tf=435243 gl=5014 lots=19630 640s
    RAIN batch 521/587 block<=416,799,999 tf=795816 gl=7808 lots=179338 999s
    RAIN batch 526/587 block<=420,799,999 tf=955453 gl=8278 lots=180981 1059s
    RAIN batch 531/587 block<=424,799,999 tf=1170417 gl=8916 lots=177081 1141s
