cmc_id,symbol,asset_class,month_end,ym,lambda_z,n_channels,channels,raw_ch1_staking,raw_ch2_holding,raw_ch3_delegation,raw_ch3_voting
1758,PAY,token,2017-07-31,2017-07,-0.3384772430220682,1,ch2_holding,,0.0,,
1775,ADT,other,2017-07-31,2017-07,-0.3384772430220682,1,ch2_holding,,0.0,,
1812,XRL,other,2017-07-31,2017-07,-0.3384772430220682,1,ch2_holding,,0.0,,
1847,MSP,token,2017-07-31,2017-07,-0.3384772430220682,1,ch2_holding,,0.0,,
1153,CRB,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1461,ROUND,other,2017-08-31,2017-08,-0.15480369951984677,1,ch2_holding,,0.0257680928345038,,
1481,NXC,other,2017-08-31,2017-08,4.275466118702304,1,ch2_holding,,0.721635304595543,,
1483,VSL,other,2017-08-31,2017-08,1.400850238432689,1,ch2_holding,,0.2701163182666348,,
1494,BPC,other,2017-08-31,2017-08,-0.03375161825225464,1,ch2_holding,,0.0447818725196774,,
1500,WINGS,token,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1660,TKN,token,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1667,UNY,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1677,DICE,other,2017-08-31,2017-08,-0.06718492603307817,1,ch2_holding,,0.0395304671606407,,
1683,RLT,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1709,QAU,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1727,BNT,token,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1732,NMR,token,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1758,PAY,token,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1775,ADT,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1812,XRL,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1815,MBRS,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1847,MSP,token,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1873,TIX,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1882,CAT,token,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1896,ZRX,token,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
1905,TFL,other,2017-08-31,2017-08,-0.3188574184311655,1,ch2_holding,,0.0,,
939,GAM,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1153,CRB,other,2017-09-30,2017-09,0.2724432544511295,1,ch2_holding,,0.156310987950159,,
1461,ROUND,other,2017-09-30,2017-09,-0.32098624773853895,1,ch2_holding,,0.0259654315212474,,
1467,ARC,token,2017-09-30,2017-09,1.265638930749818,1,ch2_holding,,0.3744643534169215,,
1481,NXC,other,2017-09-30,2017-09,2.797465727634397,1,ch2_holding,,0.7109269247179713,,
1483,VSL,other,2017-09-30,2017-09,0.8419910983277428,1,ch2_holding,,0.2814109877800571,,
1494,BPC,other,2017-09-30,2017-09,3.336380729697429,1,ch2_holding,,0.8292984845285292,,
1500,WINGS,token,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1660,TKN,token,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1667,UNY,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1677,DICE,other,2017-09-30,2017-09,-0.2873313132008349,1,ch2_holding,,0.033357667924576,,
1683,RLT,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1709,QAU,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1727,BNT,token,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1732,NMR,token,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1758,PAY,token,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1775,ADT,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1812,XRL,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1815,MBRS,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1847,MSP,token,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1873,TIX,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1882,CAT,token,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1888,IFT,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1896,ZRX,token,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
1905,TFL,other,2017-09-30,2017-09,-0.4392001211067301,1,ch2_holding,,0.0,,
939,GAM,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1153,CRB,other,2017-10-31,2017-10,0.9385558987949885,1,ch2_holding,,0.2733507253733498,,
1481,NXC,other,2017-10-31,2017-10,3.096752708145943,1,ch2_holding,,0.7196768717416889,,
1483,VSL,other,2017-10-31,2017-10,1.070221422838876,1,ch2_holding,,0.3005798296429225,,
1494,BPC,other,2017-10-31,2017-10,3.624161097070529,1,ch2_holding,,0.8287476259801945,,
1500,WINGS,token,2017-10-31,2017-10,-0.1448811632479798,1,ch2_holding,,0.0492903956392425,,
1660,TKN,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1667,UNY,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1677,DICE,other,2017-10-31,2017-10,-0.2713451544363242,1,ch2_holding,,0.0231369949869507,,
1683,RLT,other,2017-10-31,2017-10,-0.26577328900207475,1,ch2_holding,,0.0242892852769634,,
1709,QAU,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1727,BNT,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1732,NMR,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1758,PAY,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1775,ADT,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1812,XRL,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1815,MBRS,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1847,MSP,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1873,TIX,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1882,CAT,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1888,IFT,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1896,ZRX,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1905,TFL,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
1995,TGT,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
2015,ATM,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
2040,ALIS,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
2064,ART,other,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
2110,DOV,token,2017-10-31,2017-10,-0.38322340572209335,1,ch2_holding,,0.0,,
939,GAM,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1153,CRB,other,2017-11-30,2017-11,0.32330935672092115,1,ch2_holding,,0.255879730781459,,
1467,ARC,token,2017-11-30,2017-11,2.1491030422390227,1,ch2_holding,,0.7870349513866467,,
1481,NXC,other,2017-11-30,2017-11,1.901570014364341,1,ch2_holding,,0.7150232771921785,,
1483,VSL,other,2017-11-30,2017-11,0.6622232173789557,1,ch2_holding,,0.3544756826964156,,
1494,BPC,other,2017-11-30,2017-11,2.2718656255364627,1,ch2_holding,,0.8227487275545772,,
1500,WINGS,token,2017-11-30,2017-11,-0.18332352635148497,1,ch2_holding,,0.1084913906263642,,
1660,TKN,token,2017-11-30,2017-11,0.8674026025376227,1,ch2_holding,,0.4141659436782652,,
1667,UNY,other,2017-11-30,2017-11,2.697086279908409,1,ch2_holding,,0.9464528307455804,,
1677,DICE,other,2017-11-30,2017-11,-0.41763829822660864,1,ch2_holding,,0.0403251375970311,,
1683,RLT,other,2017-11-30,2017-11,1.7853316096334233,1,ch2_holding,,0.6812074983353655,,
1709,QAU,other,2017-11-30,2017-11,-0.3756383093022305,1,ch2_holding,,0.0525436667547837,,
1727,BNT,token,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1732,NMR,token,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1758,PAY,token,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1775,ADT,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1812,XRL,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1815,MBRS,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1847,MSP,token,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1873,TIX,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1882,CAT,token,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1888,IFT,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1896,ZRX,token,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1905,TFL,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
1995,TGT,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
2015,ATM,token,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
2040,ALIS,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
2064,ART,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
2069,OTN,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
2082,ICOS,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
2110,DOV,token,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
2191,PAYX,other,2017-11-30,2017-11,-0.5562519816399444,1,ch2_holding,,0.0,,
939,GAM,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
1153,CRB,other,2017-12-31,2017-12,0.31147856946123503,1,ch2_holding,,0.2905297914317679,,
1467,ARC,token,2017-12-31,2017-12,2.029887273041885,1,ch2_holding,,0.7988514857065192,,
1481,NXC,other,2017-12-31,2017-12,1.7171091145078896,1,ch2_holding,,0.7063287213915773,,
1483,VSL,other,2017-12-31,2017-12,0.6137233265013867,1,ch2_holding,,0.379936675058565,,
1494,BPC,other,2017-12-31,2017-12,2.2305630369541265,1,ch2_holding,,0.8582132918351758,,
1500,WINGS,token,2017-12-31,2017-12,-0.13909006401121285,1,ch2_holding,,0.157247289616841,,
1660,TKN,token,2017-12-31,2017-12,1.322765798926765,1,ch2_holding,,0.5896782051992212,,
1667,UNY,other,2017-12-31,2017-12,2.522198466030313,1,ch2_holding,,0.9444818349993565,,
1677,DICE,other,2017-12-31,2017-12,-0.5059794171636739,1,ch2_holding,,0.0487179175197253,,
1683,RLT,other,2017-12-31,2017-12,1.7833203149139045,1,ch2_holding,,0.7259146263629734,,
1709,QAU,other,2017-12-31,2017-12,-0.0828046130766421,1,ch2_holding,,0.1738970631674884,,
1727,BNT,token,2017-12-31,2017-12,-0.06193287427237061,1,ch2_holding,,0.1800711226967146,,
1732,NMR,token,2017-12-31,2017-12,1.309679519122377,1,ch2_holding,,0.5858071587432419,,
1758,PAY,token,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
1775,ADT,other,2017-12-31,2017-12,0.44838593958177686,1,ch2_holding,,0.3310282980986413,,
1812,XRL,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
1815,MBRS,other,2017-12-31,2017-12,-0.09913943372603584,1,ch2_holding,,0.1690650673268759,,
1847,MSP,token,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
1873,TIX,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
1882,CAT,token,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
1888,IFT,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
1896,ZRX,token,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
1905,TFL,other,2017-12-31,2017-12,-0.6573789875741775,1,ch2_holding,,0.0039324796997377,,
1995,TGT,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2015,ATM,token,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2040,ALIS,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2064,ART,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2069,OTN,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2082,ICOS,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2110,DOV,token,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2191,PAYX,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2223,VEE,token,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2296,OST,token,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
2298,DTR,other,2017-12-31,2017-12,-0.6706729457482918,1,ch2_holding,,0.0,,
939,GAM,other,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
1153,CRB,other,2018-01-31,2018-01,0.1062441159682811,1,ch2_holding,,0.2534169859013315,,
1481,NXC,other,2018-01-31,2018-01,1.7152674155811665,1,ch2_holding,,0.7006608913145497,,
1483,VSL,other,2018-01-31,2018-01,0.5284457726113103,1,ch2_holding,,0.3707721030300821,,
1494,BPC,other,2018-01-31,2018-01,2.7143038852660157,1,ch2_holding,,0.978352937451846,,
1500,WINGS,token,2018-01-31,2018-01,-0.22909703603495002,1,ch2_holding,,0.1602056032546189,,
1660,TKN,token,2018-01-31,2018-01,1.3166337843044091,1,ch2_holding,,0.589856739426778,,
1667,UNY,other,2018-01-31,2018-01,2.599330134792069,1,ch2_holding,,0.9463948488434684,,
1677,DICE,other,2018-01-31,2018-01,-0.549474342573965,1,ch2_holding,,0.0711535691313404,,
1683,RLT,other,2018-01-31,2018-01,1.883814755041454,1,ch2_holding,,0.7475102876939324,,
1709,QAU,other,2018-01-31,2018-01,-0.03969518701909015,1,ch2_holding,,0.2128517163759876,,
1727,BNT,token,2018-01-31,2018-01,0.012050698946681577,1,ch2_holding,,0.227234996055012,,
1732,NMR,token,2018-01-31,2018-01,1.3654673098203987,1,ch2_holding,,0.603430499776999,,
1758,PAY,token,2018-01-31,2018-01,-0.17226506414907214,1,ch2_holding,,0.1760026107091968,,
1775,ADT,other,2018-01-31,2018-01,0.32855359356709435,1,ch2_holding,,0.3152100991493414,,
1812,XRL,other,2018-01-31,2018-01,0.3881865972602807,1,ch2_holding,,0.3317856810378561,,
1815,MBRS,other,2018-01-31,2018-01,0.2884756551189091,1,ch2_holding,,0.3040700406326068,,
1847,MSP,token,2018-01-31,2018-01,0.2996582093661631,1,ch2_holding,,0.3071783419451113,,
1873,TIX,other,2018-01-31,2018-01,-0.25790466150388636,1,ch2_holding,,0.1521982394560287,,
1882,CAT,token,2018-01-31,2018-01,-0.7394368846544819,1,ch2_holding,,0.018351605839228,,
