cmc_id,symbol,name,asset_class,sector,staking_start,dl_slug,dl_category,token_address,token_chain,token_chains,snapshot_space,gecko_id,dl_matched,n_dl_entries,has_address,has_snapshot
819,BITB,Bean Cash,coin,,,,,,,,,,False,0,False,False
276,BITS,Bitstar,coin,Yield,,,,,,,,,False,0,False,False
170,BLK,BlackCoin,coin,,,,,,,,,,False,0,False,False
707,BLOCK,Blocknet,coin,,,,,,,,,,False,0,False,False
1263,BLRY,BillaryCoin,coin,,,,,,,,,,False,0,False,False
290,BLU,BlueCoin,coin,Derivatives,,,,,,,,,False,0,False,False
1839,BNB,BNB,coin,CEX;Chain;Launchpad;Exchange Token;Layer-1;Payments;Smart Contract Platform,,ringfi,Yield,bsc:0x021988d2c89b1A9Ff56641b2F247942358FF05c9,Binance,Binance,,ring,True,2,True,False
2842,BNK,Bankera,coin,Exchange Token;Payments;Smart Contract Platform,,,,,,,,,False,0,False,False
2499,BORG,SwissBorg,coin,CEX;Yield,,swissborg,CEX,0x64d0f55cd8c7133a9d7102b13987235f486f2224,Multi-Chain,Bitcoin;Ethereum;Solana;Ripple;Binance;Hedera;Cardano;Doge;Avalanche;Polygon;Near;Tron;Optimism;Cosmos;Injective;Stellar;TON;Arbitrum;Algorand;Sei;Celestia;Moonbeam;Sonic;Berachain;Osmosis;xDai;Chiliz;Polkadot,,swissborg,True,1,True,False
350,BOST,BoostCoin,coin,,,,,,,,,,False,0,False,False
12,BQC,BBQCoin,coin,,,,,,,,,,False,0,False,False
7096,BRG,Bridge Oracle,coin,AI/Big Data;Payments;Smart Contract Platform,,,,,,,,,False,0,False,False
426,BRIT,BritCoin,coin,,,,,,,,,,False,0,False,False
1286,BRK,Breakout,coin,,,,,,,,,,False,0,False,False
366,BSD,BitSend,coin,,,,,,,,,,False,0,False,False
3997,BST,BlockStamp,coin,Farm;Yield,,,,,,,,,False,0,False,False
644,BSTY,GlobalBoost-Y,coin,,,,,,,,,,False,0,False,False
3602,BSV,Bitcoin SV,coin,Payments,,,,,,,,,False,0,False,False
10746,BSW,Biswap,coin,Dexs;NFT;DEX;Gaming;Metaverse;Yield,,,,,,,,,False,0,False,False
945,BTA,Bata,coin,,,,,,,,,,False,0,False,False
14,BTB,BitBar,coin,,,,,,,,,,False,0,False,False
1,BTC,Bitcoin,coin,Canonical Bridge;Reserve Currency;SoFi;Layer-1;Privacy,,bitcoin,Canonical Bridge,,,,,bitcoin,True,1,False,False
467,BTCD,BitcoinDark,coin,,,,,,,,,,False,0,False,False
2575,BTCP,Bitcoin Private,coin,Privacy,,,,,,,,,False,0,False,False
5455,BTCXT,Bitcoin XT,coin,,,,,,,,,,False,0,False,False
1381,BTDX,Bitcloud,coin,,,,,,,,,,False,0,False,False
2083,BTG,Bitcoin Gold,coin,Payments,,,,,,,,,False,0,False,False
543,BTM,Bitmark,coin,,,,,,,,,,False,0,False,False
1866,BTM,BytomDAO,coin,Payments;RWA;Smart Contract Platform,,,,,,,,,False,0,False,False
463,BTS,BitShares,coin,Dexs;DEX,,,,,,,,,False,0,False,False
16086,BTT,BitTorrent [New],coin,DePIN;Storage;Interoperability,,,,,,,,,False,0,False,False
1654,BTX,BitCore,coin,,,,,,,,,,False,0,False,False
1142,BUCKS,SwagBucks,coin,,,,,,,,,,False,0,False,False
658,BUK,CryptoBuck,coin,,,,,,,,,,False,0,False,False
573,BURST,Burst,coin,,,,,,,,,,False,0,False,False
734,BYC,Bytecent,coin,,,,,,,,,,False,0,False,False
367,C2,Coin2.1,coin,,,ddex,Dexs,,Ethereum,Ethereum,,,True,1,False,False
157,CAGE,CageCoin,coin,,,,,,,,,,False,0,False,False
38195,CAMP,Camp Network,coin,Layer-1,,,,,,,,,False,0,False,False
506,CANN,CannabisCoin,coin,,,,,,,,,,False,0,False,False
29,CAP,Bottlecaps,coin,Derivatives,,,,,,,,,False,0,False,False
502,CARBON,Carboncoin,coin,Farm,,,,,,,,,False,0,False,False
49,CBX,Bullion,coin,,,,,,,,,,False,0,False,False
37263,CC,Canton,coin,Chain;Interoperability;Layer-1;Privacy;Smart Contract Platform,,canton,Chain,,,,,canton-network,True,1,False,False
4122,CCA,Counos Coin,coin,,,,,,,,,,False,0,False,False
279,CCN,CannaCoin,coin,,,,,,,,,,False,0,False,False
5482,CCXX,Counos X,coin,,,,,,,,,,False,0,False,False
304,CDN,Canada eCoin,coin,,,,,,,,,,False,0,False,False
1864,CDT,Blox,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
5567,CELO,Celo,coin,Chain;Layer-2;Payments;Privacy;Smart Contract Platform;Zero Knowledge,,celo,Chain,celo:0x471ece3750da237f93b8e339c536989b8978a438,,,,celo,True,1,True,False
249,CESC,CryptoEscudo,coin,,,,,,,,,,False,0,False,False
2941,CET,CoinEx Token,coin,CEX;DEX;Layer-1,,coinex,CEX,0x081f67afa0ccf8c7b17540767bbe95df2ba8d97f,Multi-Chain,Bitcoin;Ethereum;Tron;Starknet,,coinex-token,True,1,True,False
7334,CFX,Conflux,coin,NFT;Layer-1;Payments;Smart Contract Platform,,,,,,,,,False,0,False,False
146,CGA,Cryptographic Anomaly,coin,,,,,,,,,,False,0,False,False
999,CHC,ChainCoin,coin,,,,,,,,,,False,0,False,False
3978,CHR,Chromia,coin,Dexs;AI/Big Data;NFT;Gaming;Layer-1;Metaverse;Modular Blockchain;RWA,,,,,,,,,False,0,False,False
4066,CHZ,Chiliz,coin,NFT;Layer-1;Payments,,,,,,,,,False,0,False,False
1306,CJ,Cryptojacks,coin,,,,,,,,,,False,0,False,False
4948,CKB,Nervos Network,coin,NFT;Interoperability;Layer-2;Modular Blockchain;Smart Contract Platform,,,,,,,,,False,0,False,False
460,CLAM,Clams,coin,Yield;Payments,,,,,,,,,False,0,False,False
362,CLOAK,CloakCoin,coin,Privacy,,,,,,,,,False,0,False,False
1855,CMP,Compcoin,coin,Dexs,,,,,,,,,False,0,False,False
206,CNO,Coin(O),coin,,,,,,,,,,False,0,False,False
1546,CNT,Centurion,coin,Dexs,,,,,,,,,False,0,False,False
2027,CNX,Cryptonex,coin,Exchange Token;Payments;Smart Contract Platform,,,,,,,,,False,0,False,False
65,COL,Colossuscoin,coin,,,,,,,,,,False,0,False,False
2001,COLX,ColossusXT,coin,Privacy,,,,,,,,,False,0,False,False
23254,CORE,Core,coin,Canonical Bridge;Derivatives;Yield;Layer-1,,,,,,,,,False,0,False,False
1008,CPS,Capricoin+,coin,,,,,,,,,,False,0,False,False
1676,CREA,CREA,coin,,,,,,,,,,False,0,False,False
986,CREVA,CrevaCoin,coin,,,,,,,,,,False,0,False,False
3635,CRO,Cronos,coin,Dexs;Exchange Token;Layer-1;Payments,,,,,,,,,False,0,False,False
2447,CRPT,Crypterium,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
720,CRW,Crown,coin,,,,,,,,,,False,0,False,False
337,CRYPT,CryptCoin,coin,,,,,,,,,,False,0,False,False
5899,CSPR,Casper,coin,AI/Big Data;Layer-1,,,,,,,,,False,0,False,False
5198,CTC,Creditcoin,coin,Layer-1;RWA,,,,,,,,,False,0,False,False
169,CTM,ContinuumCoin,coin,,,,,,,,,,False,0,False,False
5444,CTSI,Cartesi,coin,Layer-2;Modular Blockchain;Smart Contract Platform,,,,,,,,,False,0,False,False
2638,CTXC,Cortex,coin,AI/Big Data;IoT;Layer-1;Smart Contract Platform,,,,,,,,,False,0,False,False
333,CURE,Curecoin,coin,DePIN,,,,,,,,,False,0,False,False
3609,CWV,CWV Chain,coin,Payments;Smart Contract Platform,,,,,,,,,False,0,False,False
677,CZC,CzechCrownCoin,coin,,,,,,,,,,False,0,False,False
2868,DAG,Constellation,coin,DAG;Layer-1;Payments;Smart Contract Platform,,,,,,,,,False,0,False,False
3345,DAPS,DAPS Coin,coin,Privacy,,,,,,,,,False,0,False,False
745,DARK,DarkCoin,coin,Algo-Stables,,,,,,,,,False,0,False,False
131,DASH,Dash,coin,Payments;Privacy,,,,,,,,,False,0,False,False
1797,DAXX,DaxxCoin,coin,,,,,,,,,,False,0,False,False
1186,DBIC,DubaiCoin,coin,,,,,,,,,,False,0,False,False
1611,DBIX,DubaiCoin,coin,,,puddingswap,Dexs,hoo:0xbe8d16084841875a1f398e6c3ec00bbfcbfa571b,Hoo,Hoo,,puddingswap,True,1,True,False
28,DBL,Doubloons,coin,,,,,,,,,,False,0,False,False
1168,DCR,Decred,coin,Layer-1;Payments;Privacy,,,,,,,,,False,0,False,False
1478,DCT,DECENT,coin,,,,,,,,,,False,0,False,False
1745,DCY,Dinastycoin,coin,,,,,,,,,,False,0,False,False
2428,DDD,Scry.info,coin,Dexs;Yield;AI/Big Data;Smart Contract Platform,,,,,,,,,False,0,False,False
4180,DDK,DDKoin,coin,,,,,,,,,,False,0,False,False
12400,DEL,Decimal,coin,,,,,,,,,,False,0,False,False
72,DEM,Deutsche eMark,coin,,,,,,,,,,False,0,False,False
2665,DERO,Dero,coin,Privacy;Smart Contract Platform,,,,,,,,,False,0,False,False
2649,DEV,DeviantCoin,coin,Yield,,,,,,,,,False,0,False,False
5804,DFI,DeFiChain,coin,Dexs;Synthetics,,defichain-dex,Dexs,,DefiChain,DefiChain,,defichain,True,1,False,False
109,DGB,DigiByte,coin,NFT;IoT;Layer-1;Payments;Privacy,,,,,,,,,False,0,False,False
18,DGC,Digitalcoin,coin,,,,,,,,,,False,0,False,False
284,DIEM,Diem,coin,Yield,,,,,,,,,False,0,False,False
90,DIME,Dimecoin,coin,,,,,,,,,,False,0,False,False
3441,DIVI,Divi,coin,,,,,,,,,,False,0,False,False
77,DMD,Diamond,coin,Farm;Yield,,,,,,,,,False,0,False,False
74,DOGE,Dogecoin,coin,Chain;Payments;Meme,,dogecoin,Chain,,,,,dogecoin,True,1,False,False
551,DONU,Donu,coin,,,,,,,,,,False,0,False,False
145,DOPE,DopeCoin,coin,Dexs,,,,,,,,,False,0,False,False
6636,DOT,Polkadot,coin,Foundation;Liquid Staking;Yield;Layer-1,,polkadot-treasury,Foundation,,,,,polkadot,True,1,False,False
660,DSH,Dashcoin,coin,,,,,,,,,,False,0,False,False
69,DTC,Datacoin,coin,,,,,,,,,,False,0,False,False
4092,DUSK,Dusk,coin,Layer-1;Privacy;RWA;Smart Contract Platform;Zero Knowledge,,,,,,,,,False,0,False,False
7,DVC,Devcoin,coin,,,,,,,,,,False,0,False,False
1476,DWC,DeepWebCash,coin,,,,,,,,,,False,0,False,False
28324,DYDX,dYdX,coin,Derivatives;Layer-1;Perpetuals,,,,,,,,,False,0,False,False
1587,DYN,Dynamic,coin,,,,,,,,,,False,0,False,False
85,EAC,EarthCoin,coin,,,,,,,,,,False,0,False,False
1615,EB3,EB3 Coin,coin,,,,,,,,,,False,0,False,False
1711,ECA,Electra,coin,Payments,,,,,,,,,False,0,False,False
212,ECC,ECC,coin,,,,,,,,,,False,0,False,False
1618,ECN,E-coin,coin,,,,,,,,,,False,0,False,False
3344,ECOREAL,Ecoreal Estate,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
