STREAM build: 5 tokens | WORKERS=8 BLOCK_WINDOW=100000 RATE=8.0/s DAILY_CAP=185000
  --- ADF cmc=24796 chain=137 START (gl_so_far=0) ---
    RAIN batch 86/587 block<=68,799,999 tf=0 gl=162881 lots=0 89s
    RAIN batch 91/587 block<=72,799,999 tf=0 gl=162921 lots=0 94s
    RAIN batch 96/587 block<=76,799,999 tf=0 gl=162961 lots=0 99s
    RAIN batch 101/587 block<=80,799,999 tf=0 gl=163001 lots=0 104s
    RAIN batch 106/587 block<=84,799,999 tf=0 gl=163041 lots=0 109s
    RAIN batch 111/587 block<=88,799,999 tf=0 gl=163081 lots=0 114s
    RAIN batch 116/587 block<=92,799,999 tf=0 gl=163121 lots=0 119s
    RAIN batch 121/587 block<=96,799,999 tf=0 gl=163161 lots=0 125s
    RAIN batch 126/587 block<=100,799,999 tf=0 gl=163201 lots=0 130s
    RAIN batch 131/587 block<=104,799,999 tf=0 gl=163241 lots=0 135s
    RAIN batch 136/587 block<=108,799,999 tf=0 gl=163281 lots=0 140s
    RAIN batch 141/587 block<=112,799,999 tf=0 gl=163321 lots=0 145s
    RAIN batch 146/587 block<=116,799,999 tf=0 gl=163361 lots=0 150s
    RAIN batch 151/587 block<=120,799,999 tf=0 gl=163401 lots=0 155s
    RAIN batch 156/587 block<=124,799,999 tf=0 gl=163441 lots=0 160s
    RAIN batch 161/587 block<=128,799,999 tf=0 gl=163481 lots=0 165s
    RAIN batch 166/587 block<=132,799,999 tf=0 gl=163521 lots=0 170s
    RAIN batch 171/587 block<=136,799,999 tf=0 gl=163561 lots=0 175s
    RAIN batch 176/587 block<=140,799,999 tf=0 gl=163601 lots=0 180s
    RAIN batch 181/587 block<=144,799,999 tf=0 gl=163641 lots=0 185s
    RAIN batch 186/587 block<=148,799,999 tf=0 gl=163681 lots=0 190s
    RAIN batch 191/587 block<=152,799,999 tf=0 gl=163721 lots=0 195s
    RAIN batch 196/587 block<=156,799,999 tf=0 gl=163761 lots=0 200s
    RAIN batch 201/587 block<=160,799,999 tf=0 gl=163801 lots=0 205s
    RAIN batch 206/587 block<=164,799,999 tf=0 gl=163841 lots=0 210s
    RAIN batch 211/587 block<=168,799,999 tf=0 gl=163881 lots=0 215s
    RAIN batch 216/587 block<=172,799,999 tf=0 gl=163921 lots=0 220s
    RAIN batch 221/587 block<=176,799,999 tf=0 gl=163961 lots=0 225s
    RAIN batch 226/587 block<=180,799,999 tf=0 gl=164001 lots=0 230s
    RAIN batch 231/587 block<=184,799,999 tf=0 gl=164041 lots=0 235s
    RAIN batch 236/587 block<=188,799,999 tf=0 gl=164081 lots=0 240s
    RAIN batch 241/587 block<=192,799,999 tf=0 gl=164121 lots=0 246s
    RAIN batch 246/587 block<=196,799,999 tf=0 gl=164161 lots=0 251s
    RAIN batch 251/587 block<=200,799,999 tf=0 gl=164201 lots=0 256s
    RAIN batch 256/587 block<=204,799,999 tf=0 gl=164241 lots=0 261s
    RAIN batch 261/587 block<=208,799,999 tf=0 gl=164281 lots=0 266s
    RAIN batch 266/587 block<=212,799,999 tf=0 gl=164321 lots=0 271s
    RAIN batch 271/587 block<=216,799,999 tf=0 gl=164361 lots=0 276s
    RAIN batch 276/587 block<=220,799,999 tf=0 gl=164401 lots=0 281s
    RAIN batch 281/587 block<=224,799,999 tf=0 gl=164441 lots=0 286s
    RAIN batch 286/587 block<=228,799,999 tf=0 gl=164481 lots=0 291s
    RAIN batch 291/587 block<=232,799,999 tf=0 gl=164521 lots=0 296s
    RAIN batch 296/587 block<=236,799,999 tf=0 gl=164561 lots=0 301s
    RAIN batch 301/587 block<=240,799,999 tf=0 gl=164601 lots=0 307s
    RAIN batch 306/587 block<=244,799,999 tf=0 gl=164641 lots=0 312s
    RAIN batch 311/587 block<=248,799,999 tf=0 gl=164681 lots=0 317s
    RAIN batch 316/587 block<=252,799,999 tf=0 gl=164721 lots=0 322s
    RAIN batch 321/587 block<=256,799,999 tf=0 gl=164761 lots=0 327s
    RAIN batch 326/587 block<=260,799,999 tf=0 gl=164801 lots=0 333s
    RAIN batch 331/587 block<=264,799,999 tf=0 gl=164841 lots=0 338s
    RAIN batch 336/587 block<=268,799,999 tf=0 gl=164881 lots=0 343s
    RAIN batch 341/587 block<=272,799,999 tf=0 gl=164921 lots=0 348s
    RAIN batch 346/587 block<=276,799,999 tf=0 gl=164961 lots=0 353s
    RAIN batch 351/587 block<=280,799,999 tf=0 gl=165001 lots=0 358s
    RAIN batch 356/587 block<=284,799,999 tf=0 gl=165041 lots=0 363s
    RAIN batch 361/587 block<=288,799,999 tf=0 gl=165081 lots=0 368s
    RAIN batch 366/587 block<=292,799,999 tf=0 gl=165121 lots=0 373s
    RAIN batch 371/587 block<=296,799,999 tf=0 gl=165161 lots=0 378s
    RAIN batch 376/587 block<=300,799,999 tf=0 gl=165201 lots=0 383s
    RAIN batch 381/587 block<=304,799,999 tf=0 gl=165241 lots=0 388s
    RAIN batch 386/587 block<=308,799,999 tf=0 gl=165281 lots=0 393s
    RAIN batch 391/587 block<=312,799,999 tf=0 gl=165321 lots=0 398s
    RAIN batch 396/587 block<=316,799,999 tf=0 gl=165361 lots=0 403s
    RAIN batch 401/587 block<=320,799,999 tf=0 gl=165401 lots=0 408s
    RAIN batch 406/587 block<=324,799,999 tf=0 gl=165441 lots=0 413s
    RAIN batch 411/587 block<=328,799,999 tf=0 gl=165481 lots=0 418s
    RAIN batch 416/587 block<=332,799,999 tf=0 gl=165521 lots=0 423s
    RAIN batch 421/587 block<=336,799,999 tf=0 gl=165561 lots=0 429s
    RAIN batch 426/587 block<=340,799,999 tf=0 gl=165601 lots=0 434s
    RAIN batch 431/587 block<=344,799,999 tf=0 gl=165641 lots=0 439s
    RAIN batch 436/587 block<=348,799,999 tf=0 gl=165681 lots=0 444s
    RAIN batch 441/587 block<=352,799,999 tf=0 gl=165721 lots=0 449s
    RAIN batch 446/587 block<=356,799,999 tf=0 gl=165761 lots=0 454s
    RAIN batch 451/587 block<=360,799,999 tf=0 gl=165801 lots=0 459s
    RAIN batch 456/587 block<=364,799,999 tf=0 gl=165841 lots=0 464s
    RAIN batch 461/587 block<=368,799,999 tf=0 gl=165881 lots=0 469s
    RAIN batch 466/587 block<=372,799,999 tf=1 gl=165921 lots=1 474s
    RAIN batch 471/587 block<=376,799,999 tf=21 gl=165961 lots=11 479s
    RAIN batch 476/587 block<=380,799,999 tf=23380 gl=166091 lots=16008 496s
    RAIN batch 481/587 block<=384,799,999 tf=28883 gl=166133 lots=16237 502s
    RAIN batch 486/587 block<=388,799,999 tf=48907 gl=166199 lots=16619 510s
    RAIN batch 491/587 block<=392,799,999 tf=66883 gl=166245 lots=16921 517s
    RAIN batch 496/587 block<=396,799,999 tf=93936 gl=166287 lots=17111 524s
    RAIN batch 501/587 block<=400,799,999 tf=124958 gl=166347 lots=17621 535s
    RAIN batch 506/587 block<=404,799,999 tf=204913 gl=166575 lots=18599 566s
    RAIN batch 511/587 block<=408,799,999 tf=319993 gl=166891 lots=19121 608s
    RAIN batch 516/587 block<=412,799,999 tf=435243 gl=167207 lots=19630 650s
    RAIN batch 521/587 block<=416,799,999 tf=795816 gl=170001 lots=179338 1010s
    RAIN batch 526/587 block<=420,799,999 tf=955453 gl=170471 lots=180981 1071s
    RAIN batch 531/587 block<=424,799,999 tf=1170417 gl=171109 lots=177081 1155s
    RAIN batch 536/587 block<=428,799,999 tf=1455005 gl=172017 lots=185369 1273s
